017;blu navy;blue navy;
055;nero;black;
075;rosa smoke;pink smoke;
371;latte;milk;
076;rosso;red;
540;curry;curry;
078;sabbia;sand;
559;rame;rame;
017;blu navy;blue navy;
055;nero;black;
075;rosa smoke;pink smoke;
371;latte;milk;
076;rosso;red;
540;curry;curry;
078;sabbia;sand;
559;rame;rame;
017;blu navy;blue navy;
055;nero;black;
024;cioccolato;chocolate;
541;verde bosco;green forest;
038;grafite;graphite;
078;sabbia;sand;
084;testa di moro;dark brown;
017;blu navy;blue navy;
055;nero;black;
018;bordeaux;bordeaux;
075;rosa smoke;pink smoke;
041;grigio scuro;dark grey;
076;rosso;red;
055;nero;black;
084;testa di moro;dark brown;
017;blu navy;blue navy;
017;blu navy;blue navy;
055;nero;black;
018;bordeaux;bordeaux;
075;rosa smoke;pink smoke;
041;grigio scuro;dark grey;
076;rosso;red;
078;sabbia;sand;
084;testa di moro;dark brown;
