XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
CodeBarre;OBAGB016-EVS00-071; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;71;roccia;rock
8050846062894;OBAGB016-EVS00-088; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;88;turchese;turquoise
8050846011540;OBAGB016-EVS00-371; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;371;latte;milk
8050846062900;OBAGB016-EVS00-602; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;602;viola scuro;dark violet
8050846013025;OBAGB016-EVS00-486; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;486;pink;pink
8050846062870;OBAGB016-EVS00-589; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;589;lily grey;lily grey
CodeBarre;OBAGB016-EVS00-158; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;158;vulcano;vulcano
CodeBarre;OBAGB016-EVS00-347; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;347;cedro;cedro
CodeBarre;OBAGB016-EVS00-422; O bag spring 19;11; scocca O moon XL;OBAGB016;EVS00;422;sangria;sangria
8050846039780;OBAGB033-EVS00-017; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;17;blu navy;blue navy
8050846039681;OBAGB033-EVS00-055; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;55;nero;black
8050846063105;OBAGB033-EVS00-026; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;26;cobalto;cobalt blue
8050846039698;OBAGB033-EVS00-075; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;75;rosa smoke;rosa smoke
8050846063006;OBAGB033-EVS00-048; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;48;mattone;brick
8050846039711;OBAGB033-EVS00-078; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;78;sabbia;sand
8050846063013;OBAGB033-EVS00-224; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;224;verde inglese;english green
8050846062979;OBAGB033-EVS00-588; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;588;orchidea;orchid
8050846039728;OBAGB033-EVS00-371; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;371;latte;milk
8050846062986;OBAGB033-EVS00-589; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;589;lily grey;lily grey
8050846062993;OBAGB033-EVS00-486; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;486;pink;pink
8050846063020;OBAGB033-EVS00-602; O bag spring 19;12; scocca O bag urban XL;OBAGB033;EVS00;602;viola scuro;dark violet
CodeBarre;OBAGB034-EVS00-017; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;17;blu navy;blue navy
CodeBarre;OBAGB034-EVS00-055; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;55;nero;black
CodeBarre;OBAGB034-EVS00-026; O bag spring 19;13; scocca O bag glam XL;OBAGB034;EVS00;26;cobalto;cobalt blue
