CodeBarre;OCLKDC01-MES04-061;p024-1-04;oro;gold;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES04-072;p024-1-05;rosa;pink;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES06-080;p024-2-01;salvia;sage;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES06-043;p024-2-02;lilla;lilac;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES06-002;p024-2-03;amaranto;amaranth;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-137;p025-1-01;bluette;bluette;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-006;p025-1-02;avorio;ivory;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-143;p025-1-03;neve;snow;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-055;p025-1-04;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-008;p025-1-05;bianco;white;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-081;p025-1-06;smeraldo;emerald;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES09-077;p025-1-07;rubino;ruby;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES10-061;p026-1-01;oro;gold;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MES10-004;p026-1-02;argento;silver;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MESD2-008;p026-2-01;bianco;white;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKDC01-MESD3-137;p027-1-01;bluette;bluette;spring 2019 presentation/capsule xmas 18 + double.txt; meccanismo O click shift
CodeBarre;OCLKEC01-MAS00-008;p028-1-01;bianco;white;spring 2019 presentation/capsule xmas 18 + double.txt; case O click shift
CodeBarre;OCLKEC01-MAS00-061;p028-1-02;oro;gold;spring 2019 presentation/capsule xmas 18 + double.txt; case O click shift
CodeBarre;OCLKEC01-MAS00-055;p028-1-03;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; case O click shift
CodeBarre;OCLKEC01-MAS00-004;p028-1-04;argento;silver;spring 2019 presentation/capsule xmas 18 + double.txt; case O click shift
CodeBarre;OCLKSC01-ECS01-055;p029-1-01;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC01-ECS01-076;p029-1-02;rosso;red;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC01-ECS01-017;p029-1-03;blu navy;blue navy;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC01-ECS01-133;p029-1-04;grigio chiaro;light grey;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC01-ECS01-054;p029-1-05;naturale;natural;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC01-ECS01-084;p029-1-06;testa di moro;dark brown;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino slim doppio O click
CodeBarre;OCLKSC02-MAS00-055-M;p030-1-01;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-055-S;p030-1-01;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-017-M;p030-1-02;blu navy;blue navy;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-017-S;p030-1-02;blu navy;blue navy;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-008-M;p030-1-03;bianco;white;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-008-S;p030-1-03;bianco;white;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-018-M;p030-1-04;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
CodeBarre;OCLKSC02-MAS00-018-S;p030-1-04;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; cinturino bangle O click shift
