'020;090;8050846006423;OBAGB001-EVS00-486;CORPS O BAG EVA COMPOUND;UNICA;2;14,400;28,80;OBODY           ;PINK ;0;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'021;033;8050846062795;OBAGB001-EVS00-587;CORPS O BAG EVA COMPOUND;UNICA;2;14,400;28,80;OBODY           ;CELER;0;celery green;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'022;020;8051770309802;OBAGB002-EVS00-088;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;MINIOBODY       ;TURQ ;0;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'023;091;8050846006546;OBAGB002-EVS00-347;CORPS O BAG MINI EVA COMPOUND;UNICA;3;14,400;43,20;MINIOBODY       ;CEDRO;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'024;075;8050846016750;OBAGB002-EVS00-485;CORPS O BAG MINI EVA COMPOUND;UNICA;3;14,400;43,20;MINIOBODY       ;ATLAN;0;atlantic;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'025;058;8050846006591;OBAGB002-EVS00-486;CORPS O BAG MINI EVA COMPOUND;UNICA;3;14,400;43,20;MINIOBODY       ;PINK ;0;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'026;059;8050846062832;OBAGB002-EVS00-587;CORPS O BAG MINI EVA COMPOUND;UNICA;3;14,400;43,20;MINIOBODY       ;CELER;0;celery green;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'027;034;8050846016637;OBAGB012-EVS03-026;CORPS O BAG BEACH EVA COMPOUND EFFET OSIER;UNICA;1;11,340;11,34;OBAGBEACH       ;COBAL;0;cobalto;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'028;077;8050846079663;OBAGB012-EVS03-088;CORPS O BAG BEACH EVA COMPOUND EFFET OSIER;UNICA;2;11,340;22,68; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'029;022;8050846016583;OBAGB012-EVS03-347;CORPS O BAG BEACH EVA COMPOUND EFFET OSIER;UNICA;2;11,340;22,68;OBAGBEACH       ;CEDRO;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
