             ;EXPORT CODE EAN13, le 14/12/2018 18:17:27;;;;
 ;;;;;
             ;CRITERES T/U/B/L/S (Tous/Unique/Bornes/Liste/Sauf);;;;
 ;;;;;
             ;NUMERO DE SOCIETE      U       1;;;;
             ;COLLECTION             T;;;;
             ;CODE FOURNISSEUR ART   T;;;;
             ;DEPARTEMENT            T;;;;
             ;FAMILLE                T;;;;
             ;SOUS FAMILLE           T;;;;
             ;MODELE                 T;;;;
             ;MATIERE                T;;;;
             ;GRILLE TAILLE          T;;;;
             ;MARQUE/DIVISION        T;;;;
             ;THEME                  T;;;;
             ;DATE DE CREATION       T;;;;
             ;DATE DE MISE A JOUR    T;;;;
             ;NUMERO DE COMMANDE     T;;;;
             ;DATE                   T;;;;
             ;CODE EAN               T;;;;
             ;ENVOYER PAR MAIL A     T;;;;
Export EAN13 vers D:\VALMAG4\IMP\EAN13EXP.TXT;;;;;
8056300454762;FULL         ;ANSES/ALLONGEABL;MOSS ;0;02/11/2016
8056300454779;FULL         ;ANSES/ALLONGEABL;PHARD;0;02/11/2016
3005100871007;FULL         ;ANSES/ALLONGEABL;PHARD;0;02/11/2016
3005101313001;FULL         ;ANSES/ALLONGEABL;SANGR;0;22/05/2018
8056099170041;FULL         ;ANSES/ANGULAIREX;BLUE ;S    ;20/04/2017
8056099170027;FULL         ;ANSES/ANGULAIREX;RED  ;S    ;20/04/2017
8056099170010;FULL         ;ANSES/ANGULAIREX;YELL ;S    ;20/04/2017
3004321087037;FULL         ;ANSES/ATTACHES  ;BIBLU;L    ;28/02/2017
3004321087020;FULL         ;ANSES/ATTACHES  ;BIBLU;M    ;28/02/2017
3004321087013;FULL         ;ANSES/ATTACHES  ;BIBLU;S    ;28/02/2017
3004321087044;FULL         ;ANSES/ATTACHES  ;BIBLU;XL   ;28/02/2017
3004321087006;FULL         ;ANSES/ATTACHES  ;BIBLU;XS   ;28/02/2017
3004321087051;FULL         ;ANSES/ATTACHES  ;BIBLU;XXL  ;28/02/2017
3004321087068;FULL         ;ANSES/ATTACHES  ;BIBLU;XXS  ;28/02/2017
3004321084036;FULL         ;ANSES/ATTACHES  ;BITER;L    ;28/02/2017
3004321084029;FULL         ;ANSES/ATTACHES  ;BITER;M    ;28/02/2017
3004321084012;FULL         ;ANSES/ATTACHES  ;BITER;S    ;28/02/2017
3004321084043;FULL         ;ANSES/ATTACHES  ;BITER;XL   ;28/02/2017
3004321084005;FULL         ;ANSES/ATTACHES  ;BITER;XS   ;28/02/2017
3004321084050;FULL         ;ANSES/ATTACHES  ;BITER;XXL  ;28/02/2017
3004321084067;FULL         ;ANSES/ATTACHES  ;BITER;XXS  ;28/02/2017
3004320276005;FULL         ;ANSES/ATTACHES  ;BLACK;0;07/01/2016
3004320276036;FULL         ;ANSES/ATTACHES  ;BLACK;L    ;10/11/2016
8050450211312;FULL         ;ANSES/ATTACHES  ;BLACK;L    ;10/11/2016
3004320276029;FULL         ;ANSES/ATTACHES  ;BLACK;M    ;10/11/2016
8058983595886;FULL         ;ANSES/ATTACHES  ;BLACK;S    ;10/11/2016
3004320276012;FULL         ;ANSES/ATTACHES  ;BLACK;S    ;10/11/2016
3004320276043;FULL         ;ANSES/ATTACHES  ;BLACK;XL   ;10/11/2016
3004980276001;FULL         ;ANSES/ATTACHES  ;BLACK;XS   ;10/11/2016
3004980276056;FULL         ;ANSES/ATTACHES  ;BLACK;XXL  ;10/11/2016
3004980276063;FULL         ;ANSES/ATTACHES  ;BLACK;XXS  ;10/11/2016
3004320284031;FULL         ;ANSES/ATTACHES  ;BLUE ;L    ;10/11/2016
3004320284024;FULL         ;ANSES/ATTACHES  ;BLUE ;M    ;10/11/2016
3004320284017;FULL         ;ANSES/ATTACHES  ;BLUE ;S    ;10/11/2016
3004320284048;FULL         ;ANSES/ATTACHES  ;BLUE ;XL   ;10/11/2016
3004320284000;FULL         ;ANSES/ATTACHES  ;BLUE ;XS   ;10/11/2016
3004320284055;FULL         ;ANSES/ATTACHES  ;BLUE ;XXL  ;10/11/2016
3004320284062;FULL         ;ANSES/ATTACHES  ;BLUE ;XXS  ;10/11/2016
3004320467038;FULL         ;ANSES/ATTACHES  ;CBNAT;L    ;10/11/2016
3004320467021;FULL         ;ANSES/ATTACHES  ;CBNAT;M    ;10/11/2016
3004320467014;FULL         ;ANSES/ATTACHES  ;CBNAT;S    ;10/11/2016
3004320467045;FULL         ;ANSES/ATTACHES  ;CBNAT;XL   ;10/11/2016
3004320467007;FULL         ;ANSES/ATTACHES  ;CBNAT;XS   ;10/11/2016
3004320467052;FULL         ;ANSES/ATTACHES  ;CBNAT;XXL  ;10/11/2016
3004320467069;FULL         ;ANSES/ATTACHES  ;CBNAT;XXS  ;10/11/2016
3004320756033;FULL         ;ANSES/ATTACHES  ;CBNAV;L    ;10/11/2016
3004320756026;FULL         ;ANSES/ATTACHES  ;CBNAV;M    ;10/11/2016
3004320756019;FULL         ;ANSES/ATTACHES  ;CBNAV;S    ;10/11/2016
3004320756040;FULL         ;ANSES/ATTACHES  ;CBNAV;XL   ;10/11/2016
3004320756002;FULL         ;ANSES/ATTACHES  ;CBNAV;XS   ;10/11/2016
3004320756057;FULL         ;ANSES/ATTACHES  ;CBNAV;XXL  ;10/11/2016
3004320756064;FULL         ;ANSES/ATTACHES  ;CBNAV;XXS  ;10/11/2016
3004980408037;FULL         ;ANSES/ATTACHES  ;FLACQ;L    ;10/11/2016
3004980408020;FULL         ;ANSES/ATTACHES  ;FLACQ;M    ;10/11/2016
3004980408013;FULL         ;ANSES/ATTACHES  ;FLACQ;S    ;10/11/2016
3004980408044;FULL         ;ANSES/ATTACHES  ;FLACQ;XL   ;10/11/2016
3004980408006;FULL         ;ANSES/ATTACHES  ;FLACQ;XS   ;10/11/2016
3004980408051;FULL         ;ANSES/ATTACHES  ;FLACQ;XXL  ;10/11/2016
3004980408068;FULL         ;ANSES/ATTACHES  ;FLACQ;XXS  ;10/11/2016
3004320794035;FULL         ;ANSES/ATTACHES  ;GOACQ;L    ;10/11/2016
3004320794028;FULL         ;ANSES/ATTACHES  ;GOACQ;M    ;10/11/2016
