XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;HLESG000-ROS10-026; O bag 4 SEASONS | ss '18;10; manico lungo corda cotone;HLESG000;ROS10;026;cobalto;cobalt blue;
CodeBarre;HLESG000-ROS10-422; O bag 4 SEASONS | ss '18;10; manico lungo corda cotone;HLESG000;ROS10;422;sangria;sangria;
CodeBarre;HLESG000-ROS10-017; O bag 4 SEASONS | ss '18;10; manico lungo corda cotone;HLESG000;ROS10;017;blu navy;navy blue;
CodeBarre;HLESU200-TESP6-017; O bag 4 SEASONS | ss '18;11; manico foulard goccia;HLESU200;TESP6;017;blu navy;navy blue;
CodeBarre;HLESU200-TESP6-422; O bag 4 SEASONS | ss '18;11; manico foulard goccia;HLESU200;TESP6;422;sangria;sangria;
CodeBarre;HLESU200-TESP8-125; O bag 4 SEASONS | ss '18;12; manico foulard goccia;HLESU200;TESP8;125;multicolor;multicolor;
CodeBarre;HLESU200-TESP8-055; O bag 4 SEASONS | ss '18;12; manico foulard goccia;HLESU200;TESP8;055;nero;black;
CodeBarre;HLESU200-TESQ7-125; O bag 4 SEASONS | ss '18;13; manico foulard goccia;HLESU200;TESQ7;125;multicolor;multicolor;
CodeBarre;HLESGC00-PLS00-055; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;055;nero;black;
CodeBarre;HLESGC00-PLS00-017; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;017;blu navy;navy blue;
CodeBarre;HLESGC00-PLS00-371; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;371;latte;milk;
CodeBarre;HLESGC00-PLS00-484; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;484;coral;coral;
CodeBarre;HLESGC00-PLS00-479; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;479;skyway;skyway;
CodeBarre;HLESGC00-PLS00-347; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;347;cedro;cedro;
CodeBarre;HLESGC00-PLS00-485; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;485;atlantic;atlantic;
CodeBarre;HLESGC00-PLS00-486; O bag 4 SEASONS | ss '18;14; manico corto plexiglass +;HLESGC00;PLS00;486;pink;pink;
CodeBarre;HLESGC00-ROS10-055; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;055;nero;black;
CodeBarre;HLESGC00-ROS10-486; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;486;pink;pink;
CodeBarre;HLESGC00-ROS10-371; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;371;latte;milk;
CodeBarre;HLESGC00-ROS10-484; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;484;coral;coral;
CodeBarre;HLESGC00-ROS10-479; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;479;skyway;skyway;
CodeBarre;HLESGC00-ROS10-347; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;347;cedro;cedro;
CodeBarre;HLESGC00-ROS10-026; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;026;cobalto;cobalt blue;
CodeBarre;HLESGC00-ROS10-422; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;422;sangria;sangria;
CodeBarre;HLESGC00-ROS10-017; O bag 4 SEASONS | ss '18;15; manico corto corda cotone;HLESGC00;ROS10;017;blu navy;navy blue;
CodeBarre;OBAGS001-TESQ7-017; O bag 4 SEASONS | ss '18;18; sacca interna zip O bag;OBAGS001;TESQ7;017;blu navy;navy blue;
CodeBarre;OBAGS001-TESQ7-125; O bag 4 SEASONS | ss '18;18; sacca interna zip O bag;OBAGS001;TESQ7;125;multicolor;multicolor;
CodeBarre;OBAGS001-TESP7-422; O bag 4 SEASONS | ss '18;19; sacca interna zip O bag;OBAGS001;TESP7;422;sangria;sangria;
CodeBarre;OBAGS001-TESP7-125; O bag 4 SEASONS | ss '18;19; sacca interna zip O bag;OBAGS001;TESP7;125;multicolor;multicolor;
CodeBarre;OBAGS001-TESQ4-486; O bag 4 SEASONS | ss '18;20; sacca interna zip O bag;OBAGS001;TESQ4;486;pink;pink;
CodeBarre;OBAGS001-TESQ4-215; O bag 4 SEASONS | ss '18;20; sacca interna zip O bag;OBAGS001;TESQ4;215;crema;cream;
CodeBarre;OBAGS002-TESQ7-017; O bag 4 SEASONS | ss '18;21; sacca interna zip O bag mini;OBAGS002;TESQ7;017;blu navy;navy blue;
CodeBarre;OBAGS002-TESQ7-125; O bag 4 SEASONS | ss '18;21; sacca interna zip O bag mini;OBAGS002;TESQ7;125;multicolor;multicolor;
CodeBarre;OBAGS002-TESQ1-125; O bag 4 SEASONS | ss '18;22; sacca interna zip O bag mini;OBAGS002;TESQ1;125;multicolor;multicolor;
CodeBarre;OBAGS002-TESQ1-486; O bag 4 SEASONS | ss '18;22; sacca interna zip O bag mini;OBAGS002;TESQ1;486;pink;pink;
CodeBarre;OBAGS002-TESQ4-215; O bag 4 SEASONS | ss '18;23; sacca interna zip O bag mini;OBAGS002;TESQ4;215;crema;cream;
CodeBarre;OBAGS012-TESP6-054; O bag 4 SEASONS | ss '18;24; sacca interna zip O bag;OBAGS012;TESP6;054;naturale;natural;
CodeBarre;OBAGS012-TESP6-055; O bag 4 SEASONS | ss '18;24; sacca interna zip O bag;OBAGS012;TESP6;055;nero;black;
CodeBarre;OBAGS012-TESP6-422; O bag 4 SEASONS | ss '18;24; sacca interna zip O bag;OBAGS012;TESP6;422;sangria;sangria;
CodeBarre;OBAGS012-TESQ7-125; O bag 4 SEASONS | ss '18;25; sacca interna zip O bag;OBAGS012;TESQ7;125;multicolor;multicolor;
CodeBarre;OBAGS012-TESQ7-125; O bag 4 SEASONS | ss '18;25; sacca interna zip O bag;OBAGS012;TESQ7;125;multicolor;multicolor;
