XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OBAGB016-EVS00-076; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;76;rosso;red
CodeBarre;OBAGB016-EVS00-078; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;78;sabbia;sand
CodeBarre;OBAGB016-EVS00-071; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;71;roccia;rock
8050846039247;OBAGB017-EVS00-002; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;2;amaranto;amaranth
CodeBarre;OBAGB017-EVS00-017; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;17;blu navy;navy blue
8050846039247;OBAGB017-EVS00-485; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;485;atlantic;atlantic
8056099178351;OBAGB017-EVS00-018; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;18;bordeaux;burgundy
8050846039261;OBAGB017-EVS00-463; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;463;blu maya;maya blue
8050846039278;OBAGB017-EVS00-540; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;540;curry;curry
8050846039254;OBAGB017-EVS00-038; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;38;grafite;graphite
CodeBarre;OBAGB017-EVS00-371; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;371;latte;milk
8056099176852;OBAGB017-EVS00-050; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;50;melanzana;aubergine
CodeBarre;OBAGB017-EVS00-055; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;55;nero;black
8056099177385;OBAGB017-EVS00-076; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;76;rosso;red
CodeBarre;OBAGB017-EVS00-078; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;78;sabbia;sand
CodeBarre;OBAGB017-EVS00-071; O bag fall 2018;9; scocca O moon light EVA;OBAGB017;EVS00;71;roccia;rock
CodeBarre;OBAGB031-EVS00-002; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;2;amaranto;amaranth
CodeBarre;OBAGB031-EVS00-017; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB031-EVS00-485; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;485;atlantic;atlantic
CodeBarre;OBAGB031-EVS00-018; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;18;bordeaux;burgundy
CodeBarre;OBAGB031-EVS00-463; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;463;blu maya;maya blue
CodeBarre;OBAGB031-EVS00-540; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;540;curry;curry
CodeBarre;OBAGB031-EVS00-371; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;371;latte;milk
CodeBarre;OBAGB031-EVS00-055; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;55;nero;black
CodeBarre;OBAGB031-EVS00-078; O bag fall 2018;10; scocca O bag knit EVA;OBAGB031;EVS00;78;sabbia;sand
CodeBarre;OBAGB032-EVS00-002; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;2;amaranto;amaranth
CodeBarre;OBAGB032-EVS00-017; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB032-EVS00-485; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;485;atlantic;atlantic
CodeBarre;OBAGB032-EVS00-018; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;18;bordeaux;burgundy
CodeBarre;OBAGB032-EVS00-463; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;463;blu maya;maya blue
CodeBarre;OBAGB032-EVS00-540; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;540;curry;curry
CodeBarre;OBAGB032-EVS00-371; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;371;latte;milk
CodeBarre;OBAGB032-EVS00-055; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;55;nero;black
CodeBarre;OBAGB032-EVS00-078; O bag fall 2018;11; scocca O bag knit mini EVA;OBAGB032;EVS00;78;sabbia;sand
8050846039742;OBAGB033-EVS00-463; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;463;blu maya;maya blue
8050846039643;OBAGB033-EVS00-017; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;17;blu navy;navy blue
8050846039759;OBAGB033-EVS00-540; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;540;curry;curry
8050846039650;OBAGB033-EVS00-018; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;18;bordeaux;burgundy
8050846039728;OBAGB033-EVS00-371; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;371;latte;milk
8050846039674;OBAGB033-EVS00-050; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;50;melanzana;aubergine
8050846039681;OBAGB033-EVS00-055; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;55;nero;black
8050846039704;OBAGB033-EVS00-076; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;76;rosso;red
8050846039711;OBAGB033-EVS00-078; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;78;sabbia;sand
8050846039766;OBAGB033-EVS00-541; O bag fall 2018;12; scocca O bag urban EVA;OBAGB033;EVS00;541;verde bosco;green forest
8050846039872;OBAGB034-EVS00-485; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;485;atlantic;atlantic
8050846039780;OBAGB034-EVS00-017; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;17;blu navy;navy blue
8050846039889;OBAGB034-EVS00-540; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;540;curry;curry
8050846039797;OBAGB034-EVS00-018; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;18;bordeaux;burgundy
8050846039865;OBAGB034-EVS00-371; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;371;latte;milk
8050846039810;OBAGB034-EVS00-050; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;50;melanzana;aubergine
8050846039827;OBAGB034-EVS00-055; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;55;nero;black
8050846039858;OBAGB034-EVS00-076; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;76;rosso;red
8050846039834;OBAGB034-EVS00-071; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;71;roccia;rock
8050846039896;OBAGB034-EVS00-541; O bag fall 2018;13; scocca O bag glam EVA;OBAGB034;EVS00;541;verde bosco;green forest
8050846039902;OBAGB206-EVS00-002; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;2;amaranto;amaranth
CodeBarre;OBAGB206-EVS00-017; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;17;blu navy;navy blue
8050846016941;OBAGB206-EVS00-485; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;485;atlantic;atlantic
8050538590919;OBAGB206-EVS00-018; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;18;bordeaux;burgundy
8050846039933;OBAGB206-EVS00-463; O bag fall 2018;14; scocca sotto O pocket EVA;OBAGB206;EVS00;463;blu maya;maya blue
