XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OBAGB028-EVS03-008; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;8;bianco;white
CodeBarre;OBAGB028-EVS03-039; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;39;grigio;grey
CodeBarre;OBAGB028-EVS03-055; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;55;nero;black
CodeBarre;OBAGB028-EVS03-009; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;9;blu;blue
CodeBarre;OBAGB028-EVS03-086; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;86;tortora;dove-grey
CodeBarre;OBAGB028-EVS03-055; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;55;nero;black
CodeBarre;OBAGB028-EVS03-084; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;84;testa di moro;dark brown
CodeBarre;OBAGB028-EVS03-084; O bag 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;84;testa di moro;dark brown
CodeBarre;HLESG000-ECS01-054; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;54;naturale;natural
CodeBarre;HLESG000-ECS01-008; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;8;bianco;white
CodeBarre;HLESG000-ECS01-055; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;55;nero;black
CodeBarre;HLESG000-ECS01-084; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;84;testa di moro;dark brown
CodeBarre;HLESG000-ECS01-054; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;54;naturale;natural
CodeBarre;HLESG000-ECS01-055; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;55;nero;black
CodeBarre;HLESG000-ECS01-009; O bag 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;9;blu;blue
CodeBarre;HLESG000-ROS00-028; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;28;ecru;ecru
CodeBarre;HLESG000-ROS00-008; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;8;bianco;white
CodeBarre;HLESG000-ROS00-039; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;39;grigio;grey
CodeBarre;HLESG000-ROS00-009; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;9;blu;blue
CodeBarre;HLESG000-ROS00-055; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;55;nero;black
CodeBarre;HLESG000-ROS00-084; O bag 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;84;testa di moro;dark brown
CodeBarre;HLESX800-ECS00-008; O bag 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;8;bianco;white
CodeBarre;HLESX800-ECS00-055; O bag 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;55;nero;black
CodeBarre;HLESX800-ECS00-086; O bag 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;86;tortora;dove-grey
CodeBarre;HLESX800-ECS00-084; O bag 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;84;testa di moro;dark brown
CodeBarre;HLESGC00-ECS01-054; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;54;naturale;natural
CodeBarre;HLESGC00-ECS01-008; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;8;bianco;white
CodeBarre;HLESGC00-ECS01-055; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;55;nero;black
CodeBarre;HLESGC00-ECS01-084; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;84;testa di moro;dark brown
CodeBarre;HLESGC00-ECS01-054; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;54;naturale;natural
CodeBarre;HLESGC00-ECS01-055; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;55;nero;black
CodeBarre;HLESGC00-ECS01-009; O bag 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;9;blu;blue
CodeBarre;HLESGC00-ROS00-055; O bag 2018 .continuativo carry over;20; manico corto corda;HLESGC00;ROS00;55;nero;black
CodeBarre;SHOUC106-ECS08-055; O bag 2018 .continuativo carry over;20; tracolla catena con fascia;SHOUC106;ECS08;55;vernice nero;patent black
CodeBarre;SHOUC106-ECS08-004; O bag 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;4;argento;silver
