8050538591299;OBAGB016-EVS00-050;p008-1-10;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon EVA
8050538591312;OBAGB016-EVS00-076;p008-1-11;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon EVA
CodeBarre;OBAGB016-EVS00-078;p008-1-12;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon EVA
CodeBarre;OBAGB016-EVS00-071;p008-1-13;roccia;rock;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon EVA
8050846039247;OBAGB017-EVS00-002;p009-1-01;amaranto;amaranth;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
CodeBarre;OBAGB017-EVS00-017;p009-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8050846016354;OBAGB017-EVS00-485;p009-1-03;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8056099178351;OBAGB017-EVS00-018;p009-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8050846039261;OBAGB017-EVS00-463;p009-1-05;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8050846039278;OBAGB017-EVS00-540;p009-1-06;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8050846039254;OBAGB017-EVS00-038;p009-1-07;grafite;graphite;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
CodeBarre;OBAGB017-EVS00-371;p009-1-08;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8056099176852;OBAGB017-EVS00-050;p009-1-09;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
CodeBarre;OBAGB017-EVS00-055;p009-1-10;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8056099177385;OBAGB017-EVS00-076;p009-1-11;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
CodeBarre;OBAGB017-EVS00-078;p009-1-12;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
CodeBarre;OBAGB017-EVS00-071;p009-1-13;roccia;rock;fall 2018 presentation/catalogo fall 2018.txt; scocca O moon light EVA
8050846039407;OBAGB031-EVS00-002;p010-1-01;amaranto;amaranth;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039414;OBAGB031-EVS00-017;p010-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039490;OBAGB031-EVS00-485;p010-1-03;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039421;OBAGB031-EVS00-018;p010-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039483;OBAGB031-EVS00-463;p010-1-05;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039506;OBAGB031-EVS00-540;p010-1-06;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039469;OBAGB031-EVS00-371;p010-1-07;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039438;OBAGB031-EVS00-055;p010-1-08;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039452;OBAGB031-EVS00-078;p010-1-09;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit EVA
8050846039520;OBAGB032-EVS00-002;p011-1-01;amaranto;amaranth;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039537;OBAGB032-EVS00-017;p011-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039612;OBAGB032-EVS00-485;p011-1-03;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
3006900273008;OBAGB032-EVS00-018;p011-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039605;OBAGB032-EVS00-463;p011-1-05;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039544;OBAGB032-EVS00-540;p011-1-06;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039582;OBAGB032-EVS00-371;p011-1-07;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
3006900276009;OBAGB032-EVS00-055;p011-1-08;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039575;OBAGB032-EVS00-078;p011-1-09;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag knit mini EVA
8050846039742;OBAGB033-EVS00-463;p012-1-01;blu maya;maya blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039643;OBAGB033-EVS00-017;p012-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039759;OBAGB033-EVS00-540;p012-1-03;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039650;OBAGB033-EVS00-018;p012-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039728;OBAGB033-EVS00-371;p012-1-05;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039674;OBAGB033-EVS00-050;p012-1-06;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039681;OBAGB033-EVS00-055;p012-1-07;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039704;OBAGB033-EVS00-076;p012-1-08;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039711;OBAGB033-EVS00-078;p012-1-09;sabbia;sand;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039766;OBAGB033-EVS00-541;p012-1-10;verde bosco;green forest;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag urban EVA
8050846039872;OBAGB034-EVS00-485;p013-1-01;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039780;OBAGB034-EVS00-017;p013-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039889;OBAGB034-EVS00-540;p013-1-03;curry;curry;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039797;OBAGB034-EVS00-018;p013-1-04;bordeaux;burgundy;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039865;OBAGB034-EVS00-371;p013-1-05;latte;milk;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039810;OBAGB034-EVS00-050;p013-1-06;melanzana;aubergine;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039827;OBAGB034-EVS00-055;p013-1-07;nero;black;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039858;OBAGB034-EVS00-076;p013-1-08;rosso;red;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039834;OBAGB034-EVS00-071;p013-1-09;roccia;rock;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039896;OBAGB034-EVS00-541;p013-1-10;verde bosco;green forest;fall 2018 presentation/catalogo fall 2018.txt; scocca O bag glam EVA
8050846039902;OBAGB206-EVS00-002;p014-1-01;amaranto;amaranth;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
CodeBarre;OBAGB206-EVS00-017;p014-1-02;blu navy;navy blue;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
8050846016941;OBAGB206-EVS00-485;p014-1-03;atlantic;atlantic;fall 2018 presentation/catalogo fall 2018.txt; scocca sotto O pocket EVA
