Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;028;;ecru;ecru;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;039;;grigio;grey;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;19; manico corto ecopelle;HLESGC00;ECS01;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;20; manico corto corda;HLESGC00;ROS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;20; tracolla catena con fascia;SHOUC106;ECS08;055;;vernice nero;patent black;
 O bag fall 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;061;;oro;gold;
 O bag fall 2018 .continuativo carry over;21; tracolla catena con fascia;SHOUC106;ECS08;348;;ottone invecchiato;aged brass;
 O bag fall 2018 .continuativo carry over;21; tracolla catena lunga;SHOUC006;MTS01;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;22; tracolla catena goccia forata;SHOUC400;MTS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;22; tracolla lunga O pocket;SHOUG006;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga O pocket;SHOUG006;ECS00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;23; tracolla lunga pelle;SHOUG000;PES00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;24; tracolla catena clip lunga O;SHOUC317;ECS00;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;24; tracolla catena clip lunga O;SHOUC317;ECS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;24; tracolla catena clip lunga O;SHOUC317;ECS00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;24; tracolla catena clip lunga O;SHOUC317;ECS00;084;;testa di moro + ottone;dark brown + aged brass;
 O bag fall 2018 .continuativo carry over;24; tracolla catena clip lunga O;SHOUC317;ECS00;055;;nero + argento;black + silver;
 O bag fall 2018 .continuativo carry over;25; accessorio goccia lunga;SHOUA203;ECS00;055;;vernice nero + oro;patent black + gold;
 O bag fall 2018 .continuativo carry over;26; accessorio goccia ecopelle;SHOUA203;ECS08;054;;naturale + oro;natural + gold;
 O bag fall 2018 .continuativo carry over;26; accessorio clip ecopelle;SHOUA306;ECS40;055;;vernice nero + oro;patent black + gold;
 O bag fall 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS39;055;;nero + argento;black + silver;
 O bag fall 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS42;084;;testa di moro + ottone;dark brown + aged brass;
 O bag fall 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;28; accessorio maniglie O moon;OBAGAM16;MAS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;29; accessorio borchiette O;OBAGAB17;MAS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;039;;grigio;grey;
 O bag fall 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;32; accessorio borchiette O;OBAGAB17;MAS00;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;33; sacca interna zip O bag;OBAGS001;TES01;055;;nero;black;
