Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag 4 SEASONS | ss ‘18;15; manico corto corda cotone;HLESGC00;ROS10;479;;skyway;skyway;
 O bag 4 SEASONS | ss ‘18;15; manico corto corda cotone;HLESGC00;ROS10;347;;cedro;cedro;
 O bag 4 SEASONS | ss ‘18;15; manico corto corda cotone;HLESGC00;ROS10;026;;cobalto;cobalt blue;
 O bag 4 SEASONS | ss ‘18;15; manico corto corda cotone;HLESGC00;ROS10;422;;sangria;sangria;
 O bag 4 SEASONS | ss ‘18;15; manico corto corda cotone;HLESGC00;ROS10;017;;blu navy;navy blue;
 O bag 4 SEASONS | ss ‘18;18; sacca interna zip O bag;OBAGS001;TESN4;089;;verde;green;
 O bag 4 SEASONS | ss ‘18;18; sacca interna zip O bag;OBAGS001;TESN4;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;18; sacca interna zip O bag;OBAGS001;TESP5;017;;blu navy;navy blue;
 O bag 4 SEASONS | ss ‘18;19; sacca interna zip O bag;OBAGS001;TESP6;422;;sangria;sangria;
 O bag 4 SEASONS | ss ‘18;19; sacca interna zip O bag;OBAGS001;TESP7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;20; sacca interna zip O bag;OBAGS001;TESQ1;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;20; sacca interna zip O bag;OBAGS001;TESQ4;215;;crema;cream;
 O bag 4 SEASONS | ss ‘18;21; sacca interna zip O bag;OBAGS001;TESQ7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;22; sacca interna zip O bag mini;OBAGS002;TESN4;089;;verde;green;
 O bag 4 SEASONS | ss ‘18;22; sacca interna zip O bag mini;OBAGS002;TESN4;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;22; sacca interna zip O bag mini;OBAGS002;TESP5;017;;blu navy;navy blue;
 O bag 4 SEASONS | ss ‘18;23; sacca interna zip O bag mini;OBAGS002;TESP7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;23; sacca interna zip O bag mini;OBAGS002;TESQ1;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;24; sacca interna zip O bag mini;OBAGS002;TESQ4;215;;crema;cream;
 O bag 4 SEASONS | ss ‘18;24; sacca interna zip O bag mini;OBAGS002;TESQ7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;25; sacca interna zip O bag;OBAGS012;TES01;054;;naturale;natural;
 O bag 4 SEASONS | ss ‘18;25; sacca interna zip O bag;OBAGS012;TES01;055;;nero;black;
 O bag 4 SEASONS | ss ‘18;25; sacca interna zip O bag;OBAGS012;TESP6;422;;sangria;sangria;
 O bag 4 SEASONS | ss ‘18;26; sacca interna zip O bag;OBAGS012;TESP7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;26; sacca interna zip O bag;OBAGS012;TESQ7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;347;;cedro;cedro;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;371;;latte;milk;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;485;;atlantic;atlantic;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;026;;cobalto;cobalt blue;
 O bag 4 SEASONS | ss ‘18;27; sacca interna coulisse O bag;OBAGS112;TES20;484;;coral;coral;
 O bag 4 SEASONS | ss ‘18;28; sacca interna zip O bag;OBAGS018;TES01;054;;naturale;natural;
 O bag 4 SEASONS | ss ‘18;28; sacca interna zip O bag;OBAGS018;TES01;055;;nero;black;
 O bag 4 SEASONS | ss ‘18;28; sacca interna zip O bag;OBAGS018;TESP5;017;;blu navy;navy blue;
 O bag 4 SEASONS | ss ‘18;29; sacca interna zip O bag;OBAGS018;TESP6;422;;sangria;sangria;
 O bag 4 SEASONS | ss ‘18;29; sacca interna zip O bag;OBAGS018;TESP7;125;;multicolor;multicolor;
 O bag 4 SEASONS | ss ‘18;30; sacca interna zip O bag;OBAGS018;TESP8;055;;nero;black;
 O bag 4 SEASONS | ss ‘18;30; sacca interna coulisse O bag;OBAGS118;TES20;026;;cobalto;cobalt blue;
 O bag 4 SEASONS | ss ‘18;30; sacca interna coulisse O bag;OBAGS118;TES20;055;;nero;black;
