Reference;;Facture;;Total;Total lu;;;
2018 50 3184 28/11/2018;;EUR 190,10;;166,1;166,1;;;
Ligne;ModŠle;Code piŠce;Couleur;Taille;Quantit‚;Prix unitaire;Montant;Libell‚
1;HLESGC00;ECS04;038;UNICA;10;6,05;60,5;ANSES COURTES EN FAUX CUIR POMPON
2;OBAGB016;EVS00;024;UNICA;2;12,6;25,2;CORPS O MOON EVA COMPOUND
3;OBAGB032;EVS00;559;UNICA;2;14,16;28,32;CORPS O BAG KNIT MINI EVA COMPOUND
5;OBAGB033;EVS00;018;UNICA;2;14,16;28,32;CORPS O BAG URBAN EVA COMPOUND
4;OBAGB034;EVS00;540;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
