Reference;;Facture;;Total;Total lu;;;
2018 50 3145 27/11/2018;;EUR 3.445,66;;3.384,66;3384,66;;;
Ligne;Modäle;Code piäce;Couleur;Taille;QuantitÇ;Prix unitaire;Montant;LibellÇ
32;HLESCE01;ECS07;133;UNICA;8;10,6;84,8;ANSES DOUBLE CHA◊NE EN ÆˇTˇØ EN FAUX CUIR EFFET GRIFFê
33;OBAGB001;EVS00;038;UNICA;10;14,4;144;CORPS O BAG EVA COMPOUND
30;OBAGB001;EVS00;389;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
34;OBAGB002;EVS00;075;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
29;OBAGB002;EVS00;389;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
20;OBAGB033;EVS00;017;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
31;OBAGB206;EVS00;038;UNICA;5;4,8;24;CORPS INFêRIEUR O POCKET EVA COMPOUND
42;OBAGT002;LAS34;086;UNICA;2;9,66;19,32;REVERS O BAG MINI EN LAINE RASêE
38;OBAGB001;EVS00;024;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
37;OBAGB001;EVS00;541;UNICA;6;14,4;86,4;CORPS O BAG EVA COMPOUND
40;OBAGB002;EVS00;559;UNICA;8;14,4;115,2;CORPS O BAG MINI EVA COMPOUND
28;OBAGB033;EVS00;078;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
39;OBAGB033;SHOUX101;371;UNICA;1;14,16;14,16;CORPS O BAG URBAN EVA COMPOUND
25;OBAGB034;ACCEC020;024;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
36;OBAGB034;ACCEC020;071;UNICA;3;11,88;35,64;CORPS O BAG GLAM EVA COMPOUND
43;OBAGB206;EVS00;024;UNICA;5;4,8;24;CORPS INFêRIEUR O POCKET EVA COMPOUND
35;OBAGB206;EVS00;559;UNICA;4;4,8;19,2;CORPS INFêRIEUR O POCKET EVA COMPOUND
26;OBAGS001;EVS00;018;UNICA;5;10,8;54;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG EN TISSU COTTON CORDUROY
44;OBAGS001;EVS00;086;UNICA;2;10,8;21,6;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG EN TISSU COTTON CORDUROY
27;OBAGS001;EVS00;258;UNICA;8;10,8;86,4;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG EN TISSU COTTON CORDUROY
21;OBAGS002;TESR1;018;UNICA;3;9;27;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
22;OBAGS002;TESR1;055;UNICA;5;9;45;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
24;OBAGS002;TESR1;086;UNICA;5;9;45;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
23;OBAGS002;TESR1;258;UNICA;3;9;27;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
41;SHOUX101;TESR1;018;UNICA;2;18,96;37,92;BANDOULI‘RE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR
15;ACCEC020;TESR1;055;UNICA;15;5,9;88,5;ACCESSOIRE POMPON + N?UD EVA COMPOUND + FAUSSE FOURRURE RENARD
13;ACCEC020;TESR1;076;UNICA;10;5,9;59;ACCESSOIRE POMPON + N?UD EVA COMPOUND + FAUSSE FOURRURE RENARD
6;ACCEC020;EVS47;371;UNICA;10;5,9;59;ACCESSOIRE POMPON + N?UD EVA COMPOUND + FAUSSE FOURRURE RENARD
5;HLESCE01;ECS00;055;UNICA;10;12,66;126,6;ANSES DOUBLE CHA◊NE EN ÆˇTˇØ EN FAUX CUIR
4;HLESF800;ECS94;055;UNICA;10;9;90;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFê + STRASS
11;HLESF800;ECS94;559;UNICA;6;9;54;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFê + STRASS
17;OBAGB001;EVS00;076;UNICA;4;14,4;57,6;CORPS O BAG EVA COMPOUND
7;OBAGB002;EVS00;076;UNICA;5;14,4;72;CORPS O BAG MINI EVA COMPOUND
3;OBAGB024;EVS00;076;UNICA;5;4,8;24;CORPS O POCKET MICRO EVA COMPOUND
12;OBAGC101;FAS01;055;UNICA;6;29,4;176,4;COVER O BAG EN FAUSSE FOURRURE LAPIN
14;OBAGC101;FAS01;371;UNICA;4;29,4;117,6;COVER O BAG EN FAUSSE FOURRURE LAPIN
46;OBAGC102;FAS01;055;UNICA;6;25,68;154,08;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN
45;OBAGC102;FAS01;371;UNICA;4;25,68;102,72;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN
10;OBAGP006;TEST5;055;UNICA;6;12,1;72,6;RABAT O POCKET EN TISSU LAINE TRESSêE + BIJOUX
18;OBAGPA24;TEST9;017;UNICA;3;11,2;33,6;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX
