 01;Produit;Code piece;Couleur;Taille;Libelle;Quantite;Prix unitaire;Montant
 02;Boutique;;BLAGNAC
 03;Ref. facture;;2018 321 2765 19/12/2018 
 04;Total facture;;3700,87
 05;Total produits;;3582,87
 06;Cumul montant;;3582.87;;Etat courant = 'fichierTraite'
 07;CONTROLE MONTANT OK;;3582.87;3582.87
 08;
042;OBAGB002-EVS00-076;CORPS O BAG MINI EVA COMPOUND ROUGE;UNICA;5;14,40;72,00
043;OBAGPA24-TEST9-134;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX GRIS ANTHRACITE;UNICA;3;11,20;33,60
044;OBAGPA24-TEST9-055;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX NOIR;UNICA;4;11,20;44,80
045;OBAGB001-EVS00-076;CORPS O BAG EVA COMPOUND ROUGE;UNICA;4;14,40;57,60
046;ACCEC020-EVS47-076;ACCESSOIRE POMPON + NOEUD EVA COMPOUND + FAUSSE FOURRURE RENARD ROUGE;UNICA;10;5,90;59,00
047;HLESF800-ECS94-055;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFE + STRASS NOIR;UNICA;10;9,00;90,00
048;HLESF800-ECS94-559;1ZV621906845483183 FT;UNICA;6;9,00;54,00
049; 
050;HLESGC00-ECS04-038;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFE + STRASS CUIVRE;UNICA;10;6,05;60,50
051;OBAGB032-EVS00-559;ANSES COURTES EN FAUX CUIR POMPON GRIS GRAPHITE;UNICA;2;14,16;28,32
052;OBAGB033-EVS00-018;CORPS O BAG KNIT MINI EVA COMPOUND CUIVRE;UNICA;1;14,16;14,16
053;OBAGB034-EVS00-540;CORPS O BAG URBAN EVA COMPOUND BORDEAUX;UNICA;2;12,59;25,18
054;OBAGB016-EVS00-024;CORPS O BAG GLAM EVA COMPOUND CURRY;UNICA;1;12,60;12,60
055;HLESG000-ECS04-038;CORPS O MOON EVA COMPOUND CHOCOLAT;UNICA;15;7,03;105,45
056;OBAGB002-EVS00-026;ANSES LONGUES EN FAUX CUIR POMPON GRIS GRAPHITE;UNICA;4;14,40;57,60
057;OBAGB002-EVS00-026;CORPS O BAG MINI EVA COMPOUND BLEU COBALT;UNICA;4;14,40;57,60
058; 
059;OBAGB032-EVS00-078;CORPS O BAG KNIT MINI EVA COMPOUND SABLE;UNICA;2;14,16;28,32
060;OBAGB017-EVS00-540;CORPS O MOON LIGHT EVA COMPOUND CURRY;UNICA;3;11,04;33,12
061;OBAGB001-EVS00-559;CORPS O BAG EVA COMPOUND CUIVRE;UNICA;8;14,40;115,20
062; 
