026;cobalto;cobalt
048;mattone;brick
075;rosa smoke;smoke pink
088;turchese;turquoise
224;verde inglese;english green
119;fragola;strawberry
347;cedro;citrus
158;vulcano;volcano
422;sangria;sangria
587;celery green;celery green
485;atlantic;atlantic
486;pink;pink
017;blu navy;navy blue
055;nero;black
071;roccia;rock
371;latte;milk
588;orchidea;orchid
589;lily grey;lily grey
602;viola scuro;dark purple
078;sabbia;sand
125;multicolor;multicolour
017;blu navy;navy blue
119;fragola;strawberry
026;cobalto;cobalt
347;cedro;citrus
088;turchese;turquoise
371;latte;milk
486;pink;pink
587;celery green;celery green
026;cobalto;cobalt
048;mattone;brick
075;rosa smoke;smoke pink
158;vulcano;volcano
088;turchese;turquoise
224;verde inglese;english green
119;fragola;strawberry
347;cedro;citrus
589;lily grey;lily grey
422;sangria;sangria
485;atlantic;atlantic
602;viola scuro;dark purple
371;latte;milk
486;pink;pink
587;celery green;celery green
588;orchidea;orchid
017;blu navy;navy blue
055;nero;black
071;roccia;rock
078;sabbia;sand
017;blu navy;navy blue
055;nero;black
026;cobalto;cobalt
071;roccia;rock
048;mattone;brick
075;rosa smoke;smoke pink
078;sabbia;sand
347;cedro;citrus
088;turchese;turquoise
371;latte;milk
119;fragola;strawberry
422;sangria;sangria
479;skyway;skyway
486;pink;pink
484;coral;coral
589;lily grey;lily grey
485;atlantic;atlantic
602;viola scuro;dark purple
119;fragola;strawberry
371;latte;milk
224;verde inglese;english green
422;sangria;sangria
347;cedro;citrus
486;pink;pink
017;blu navy;navy blue
055;nero;black
026;cobalto;cobalt
075;rosa smoke;smoke pink
048;mattone;brick
078;sabbia;sand
588;orchidea;orchid
088;turchese;turquoise
589;lily grey;lily grey
602;viola scuro;dark purple
026;cobalto;cobalt
347;cedro;citrus
088;turchese;turquoise
371;latte;milk
119;fragola;strawberry
486;pink;pink
017;blu navy;navy blue
078;sabbia;sand
026;cobalto;cobalt
088;turchese;turquoise
055;nero;black
119;fragola;strawberry
347;cedro;citrus
484;coral;coral
371;latte;milk
485;atlantic;atlantic
422;sangria;sangria
486;pink;pink
001;acqua;aqua
055;nero;black
017;blu navy;navy blue
078;sabbia;sand
026;cobalto;cobalt
088;turchese;turquoise
119;fragola;strawberry
371;latte;milk
