1;;Fichier;;2019-09-Fall19/FAT_2019_50_0001933.txt;;;;;;;;;;;;;;
2;;Boutique;;TOULOUSE;;;;;;;;;;;;;;
3;;Ref. facture;;2019 50 1933 17/09/2019;;;;;;;;;;;;;;
4;;Total facture;;6224,71;;;;;;;;;;;;;;
5;;Total produits;;;;;;;;;;;;;;;;
6;;Cumul montant;;6132.71;;Etat courant = 'lectureCouleur';;;;;;;;;;;;
7;ANOMALIE MONTANT;;6132,71;;;;;;;;;;;;;;;
'018;132;8,05085E+12;HLESLL01-ECS00-017;ANSES LONGUES LINEAR AVEC BOUCLE EN FAUX CUIR;UNICA;2;13,33;26,66; ; ; ;blu navy;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'019;212;8,05085E+12;HLESLL01-ECS00-132;ANSES LONGUES LINEAR AVEC BOUCLE EN FAUX CUIR;UNICA;2;13,33;26,66; ; ; ;biscotto;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'020;213;8,05085E+12;HLESLL01-ECS00-615;ANSES LONGUES LINEAR AVEC BOUCLE EN FAUX CUIR;UNICA;2;13,33;26,66; ; ; ;military;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'021;188;8,05085E+12;HLESMD00-ECS46-017;MICRO-ANSES TUBULAIRES COURTES EN FAUX CUIR LISSE;UNICA;3;12,66;37,98;ANSES/MICROTUB  ;NAVY ;0;blu navy;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'022;40;8,05085E+12;HLESMD00-ECS46-055;MICRO-ANSES TUBULAIRES COURTES EN FAUX CUIR LISSE;UNICA;6;12,66;75,96;ANSES/MICROTUB  ;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'023;63;8,05085E+12;HLESMD00-ECS46-221;MICRO-ANSES TUBULAIRES COURTES EN FAUX CUIR LISSE;UNICA;3;12,66;37,98;ANSES/MICROTUB  ;COGNA;0;cognac;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'024;104;8,05085E+12;HLESXF00-ECS03-017;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE;UNICA;3;14,52;43,56;ANSESLONGUESSUED;NAVY ;0;blu navy;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'025;48;8,05085E+12;HLESXF00-ECS03-084;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE;UNICA;3;14,52;43,56;ANSESLONGUESSUED;TESTA;0;testa di moro;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'026;32;8,05085E+12;OBAGA000-ECS42-055;ACCESSOIRE CLIP EN FAUX CUIR OPAQUE + ARGENT;UNICA;2;3,6;7,2; ; ; ;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'027;182;8,05177E+12;OBAGB001-EVS00-076;CORPS O BAG EVA COMPOUND;UNICA;2;14,4;28,8;OBODY           ;RED  ;0;rosso;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'028;110;8,0561E+12;OBAGB001-EVS00-132;CORPS O BAG EVA COMPOUND;UNICA;2;14,4;28,8;OBODY           ;BISCO;0;biscotto;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'029;183;8,05085E+12;OBAGB001-EVS00-614;CORPS O BAG EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;imperial blu;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'030;41;8,05085E+12;OBAGB001-EVS00-615;CORPS O BAG EVA COMPOUND;UNICA;2;14,4;28,8; ; ; ;military;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
