008;bianco;white
088;turchese;turquoise
422;sangria;sangria
114;ginestra;broom
484;coral;coral
008;bianco;white
059;oceano;ocean
036;giallo;yellow
063;ottanio;teal
055;nero;black
422;sangria;sangria
484;coral;coral
076;rosso;red
486;pink;pink
060;oliva;olive
008;bianco;white
026;cobalto;cobalt
588;orchidea;orchid
144;ginestra;broom
484;coral;coral
008;bianco;white
059;oceano;ocean
036;giallo;yellow
063;ottanio;teal
055;nero;black
422;sangria;sangria
484;coral;coral
076;rosso;red
486;pink;pink
060;oliva;olive
651;poppies;poppies
652;mix flower;mix flower
650;citrus;citrus
008;bianco;white
063;ottanio;teal
060;oliva;olive
036;giallo;yellow
076;rosso;red
486;pink;pink
055;nero;black
422;sangria;sangria
059;oceano;ocean
023;celeste;sky blue
486;pink;pink
036;giallo;yellow
184;trasparente;transparent
371;latte;milk
026;cobalto;cobalt
004;argento;silver
061;oro;gold
004;argento;silver
072;rosa;pink
009;blu;blue
055;nero;black
004;argento;silver
008;bianco;white
055;nero;black
061;oro;gold
008;bianco;white
055;nero;black
137;bluette;bright blue
032;fluo giallo;fluo yellow
262;fluo fucsia;fluo fuchsia
263;fluo arancione;fluo orange
638;ciano fluo;ciano fluo
008;bianco;white
055;nero;black
032;fluo giallo;fluo yellow
055;nero;black
262;fluo fucsia;fluo fuchsia
263;fluo arancione;fluo orange
008;bianco;white
008;bianco;white
055;nero;black
055;nero;black
008;bianco;white
463;blu maya;maya blue
032;fluo giallo;fluo yellow
055;nero;black
462;arancio fluo;fluo orange
