'013;117;CodeBarre;OBAGC534-ECS94-133;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR EFFET GRIFFE GRIS CLAIR;UNICA;4;9,00;36,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'014;118;8050846039209;OBAGB016-EVS00-038;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR EFFET GRIFFE+ STRASS GRIS CLAIR;UNICA;4;12,60;50,40;OMOON           ;GRAFI;0;grafite;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'015;120;CodeBarre;OBAGB017-EVS00-075;CORPS O MOON EVA COMPOUND GRIS GRAPHITE;UNICA;2;11,04;22,08;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'016;127;8050450217581;OBAGB001-EVS00-075;CORPS O MOON LIGHT EVA COMPOUND ROSE SMOKE;UNICA;7;14,40;100,80;OBODY           ;ROSMO;0;rosa smoke;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'017;141;CodeBarre;OBAGC534-ECS94-134;CORPS O BAG EVA COMPOUND ROSE SMOKE;UNICA;4;9,00;36,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'018;145;8050846045705;SHOUX101-ECS07-017;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR EFFET GRIFFE+ STRASS GRIS ANTH;UNICA;5;13,00;65,00;ANSESTUB/BANDOUL;SAFNA;0;blu navy;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'019;185;8050846006393;OBAGB001-EVS00-026;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR EFFET GRIFFE NAVY;UNICA;5;14,40;72,00;OBODY           ;COBAL;0;cobalto;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'020;012;CodeBarre;OBAGS034-TEST8-055;CORPS O BAG EVA COMPOUND BLEU COBALT;UNICA;2;9,00;18,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'021;015;8050846039827;OBAGB034-EVS00-055;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU LAINE TRESSEE  NOIR;UNICA;4;11,88;47,52;OGLAM           ;BLACK;0;nero;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'022;019;CodeBarre;OBAGS034-TESD5-055;CORPS O BAG GLAM EVA COMPOUND NOIR;UNICA;2;8,10;16,20;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'023;034;CodeBarre;OBAGB034-EVS00-559;CORPS O BAG GLAM EVA COMPOUND CUIVRE;UNICA;3;11,88;35,64;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'024;047;CodeBarre;OBAGP034-ECS93-055;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE + APPLICATIONS FLEURS NOIR;UNICA;2;18,30;36,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'025;048;CodeBarre;OBAGP034-ECS93-389;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE + APPLICATIONS FLEURS SILVER;UNICA;2;18,30;36,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'026;050;CodeBarre;OBAGC534-ECS94-559;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR EFFET GRIFFE+ STRASS CUIVRE;UNICA;2;9,00;18,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'027;056;8050846049161;SHOUX101-ECS07-055;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR EFFET GRIFFE NOIR;UNICA;2;13,00;26,00;ANSESTUB/BANDOUL;SAFBL;0;nero;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'028;058;CodeBarre;SHOUX201-ECS98-055;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX NOIR;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'029;068;CodeBarre;SHOUX201-ECS98-389;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX SILVER;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'030;073;CodeBarre;SHOUX201-ECS98-018;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX BORD;UNICA;4;13,00;52,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'031;081;CodeBarre;OBAGP034-ECS93-018;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE + APPLICATIONS FLEURS BORDEAUX;UNICA;2;18,30;36,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
'032;101;CodeBarre;SHOUX201-ECS98-559;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX CUIVR;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002491.txt;FAT;22/11/2018;11129,28;10979,28;2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302 | 2018 04/OBAG/1075 137302
