'001;002;CodeBarre;OBAGP034-ECS29-084;RABAT O BAG GLAM FAUX CUIR IMPRIME COCO TESTA DI MORO;UNICA;2;14,04;28,08;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'002;004;8050846039780;OBAGB034-EVS00-017;CORPS O BAG GLAM EVA COMPOUND NAVY;UNICA;3;11,88;35,64;OGLAM           ;NAVY ;0;blu navy;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'003;005;8050846039834;OBAGB034-EVS00-071;CORPS O BAG GLAM EVA COMPOUND TAUPE;UNICA;3;11,88;35,64;OGLAM           ;ROCK ;0;roccia;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'004;008;8050846039827;OBAGB034-EVS00-055;CORPS O BAG GLAM EVA COMPOUND NOIR;UNICA;3;11,88;35,64;OGLAM           ;BLACK;0;nero;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'005;009;CodeBarre;OBAGP034-ECS29-055;RABAT O BAG GLAM FAUX CUIR IMPRIME COCO NOIR;UNICA;3;14,04;42,12;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'006;010;CodeBarre;OBAGS034-TESR1-055;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU COTTON CORDUROY NOIR;UNICA;2;9,00;18,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'007;011;CodeBarre;OBAGS034-TESR8-545;POCHETTE INTERIEURE FERMETURE ECLAIR O GLAM EN TISSU TARTAN ALLISON NAVY/VERT FORET;UNICA;2;12,72;25,44;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'008;012;8050846039865;OBAGB034-EVS00-371;CORPS O BAG GLAM EVA COMPOUND LATTE;UNICA;3;11,88;35,64;OGLAM           ;LATTE;0;latte;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'009;014;CodeBarre;OBAGS034-TES73-227;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM TISSU PIED-DE-POULE BLANC/NOIR;UNICA;2;12,72;25,44;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'010;015;CodeBarre;OBAGS034-FAS09-008;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN FAUSSE FOURRURE LAPIN REX BLANC;UNICA;2;18,60;37,20;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'011;016;CodeBarre;OCLKS007-SIS01-013-L;O CLOCK BRACELET COVER EN SILICONE BLEU CAPRI;L;1;3,60;3,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
