'019;041;OBAGP034-ECS29-108;RABAT O BAG GLAM FAUX CUIR IMPRIME COCO TERRE CUITE;UNICA;2;14,04;28,08;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'020;042;OBAGP034-ECS29-540;RABAT O BAG GLAM FAUX CUIR IMPRIME COCO CURRY;UNICA;2;14,04;28,08;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'021;044;OBAGS034-TESR1-018;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU COTTON CORDUROY BORDEAUX;UNICA;2;9,00;18,00;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'022;047;OBAGC534-ECS03-540;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR SUÈDE CURRY;UNICA;2;9,60;19,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'023;048;OBAGC534-ECS03-018;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR SUÈDE BORDEAUX;UNICA;2;9,60;19,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'024;049;OBAGC534-ECS84-227;P002 BONIFICO CLIENTE;UNICA;2;9,60;19,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'025;051;HLESXF00-ECS03-050;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR PIED-DE-POULE PIXEL BLANC/NOIR;UNICA;4;14,52;58,08;melanzana;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'026;052;HLESXF00-ECS03-017;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE AUBERGINE;UNICA;6;14,52;87,12;blu navy;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'027;053;OBAGP034-ECS29-017;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE NAVY;UNICA;2;14,04;28,08;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'028;056;OBAGS034-TESR1-086;RABAT O BAG GLAM FAUX CUIR IMPRIME COCO NAVY;UNICA;2;9,00;18,00;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'029;057;OBAGS034-TESR1-076;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU COTTON CORDUROY GRIS TOUR;UNICA;2;9,00;18,00;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'030;058;OBAGS034-TESR1-017;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU COTTON CORDUROY ROUGE;UNICA;2;9,00;18,00;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'031;060;OBAGS034-TESQ8-549;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU COTTON CORDUROY NAVY;UNICA;2;12,72;25,44;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'032;061;OBAGB034-EVS00-541;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN TISSU À RAYURES REGIMENTAL NAVY/;UNICA;3;11,88;35,64;verde bosco;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'033;064;OBAGB034-EVS00-050;CORPS O BAG GLAM EVA COMPOUND VERT FORET;UNICA;3;11,88;35,64;melanzana;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'034;065;OBAGC534-TESP2-241;CORPS O BAG GLAM EVA COMPOUND AUBERGINE;UNICA;2;10,80;21,60;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'035;068;OBAGB034-EVS00-018;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM TISSU RUBAN À RAYURES REGIMENTAL NAVY -;UNICA;3;11,88;35,64;bordeaux;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'036;072;OBAGS034-FAS09-018;CORPS O BAG GLAM EVA COMPOUND BORDEAUX;UNICA;2;18,60;37,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'037;075;HLESXF00-ECS03-540;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN FAUSSE FOURRURE LAPIN REX BORDE;UNICA;4;14,52;58,08;curry;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'038;076;OBAGC534-ECS03-485;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE CURRY;UNICA;2;9,60;19,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'039;080;HLESXF00-ECS03-055;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM FAUX CUIR SUÈDE ATLANTIC;UNICA;8;14,52;116,16;nero;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'040;083;OBAGT032-FAS02-548;ANSES LONGUES EXTRA SLIM GOUTTE AVEC DEMI-ANNEAU EN FAUX CUIR SUÈDE NOIR;UNICA;2;24,24;48,48;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'041;001;OBAGB024-EVS00-050;REVERS O BAG KNIT MINI EN FAUSSE FOURRURE RENARD BLONDE;UNICA;2;4,80;9,60;melanzana;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'042;003;HLESGE00-FAS09-050;CORPS O POCKET MICRO EVA COMPOUND AUBERGINE;UNICA;2;15,60;31,20;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'043;006;OBAGB024-EVS00-002;ANSES COURTES + CHAINE FAUSSE FOURRURE LAPIN REX AUBERGINE;UNICA;2;4,80;9,60;amaranto;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'044;007;OBAGS002-TESS2-485;CORPS O POCKET MICRO EVA COMPOUND AMARANTE;UNICA;2;12,72;25,44;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'045;013;OBAGT002-FAS09-008;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU TWEED COULEUR UNIE ATLANTIC;UNICA;2;18,48;36,96;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'046;017;OBAGT002-FAS09-009;REVERS O BAG MINI EN FAUSSE FOURRURE LAPIN REX BLANC;UNICA;2;18,48;36,96;CodeBarre;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
'047;018;HLESAD01-FAS09-055;REVERS O BAG MINI EN FAUSSE FOURRURE LAPIN REX BLEU;UNICA;2;7,80;15,60;nero;FAT_2018_321_0002153.txt;FAT;19/10/2018;2419,04;CodeBarre;2018 03/OBAG/666  | 2018 03/OBAG/666 
