'001;008;8050846039797;OBAGB034-EVS00-018;CORPS O BAG GLAM EVA COMPOUND BORDEAUX;UNICA;4;11,88;47,52;OGLAM           ;BDX  ;0;bordeaux;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'002;009;CodeBarre;OBAGS034-FAS09-055;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN FAUSSE FOURRURE LAPIN REX NOIR;UNICA;2;18,60;37,20;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'003;016;CodeBarre;SHOUX201-ECS98-389;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX SILVER;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'004;022;CodeBarre;SHOUX201-ECS98-559;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX CUIVR;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'005;031;CodeBarre;OBAGS034-FAS09-018;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG GLAM EN FAUSSE FOURRURE LAPIN REX BORDE;UNICA;2;18,60;37,20;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'006;038;CodeBarre;SHOUX101-ECS07-133;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR EFFET GRIFFE GRIS CLAIR;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'007;043;CodeBarre;OBAGP034-ECS93-018;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE + APPLICATIONS FLEURS BORDEAUX;UNICA;2;18,30;36,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'008;045;CodeBarre;SHOUX201-ECS98-055;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX NOIR;UNICA;2;13,00;26,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'009;049;CodeBarre;OBAGP034-ECS93-389;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE + APPLICATIONS FLEURS SILVER;UNICA;2;18,30;36,60;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
'010;057;CodeBarre;SHOUX201-ECS98-018;BANDOULIÈRE EXTRASLIM 110 + ANSES MAXI CHAINE + CLIP FAUX CUIR EFFET GRIFFE + PLEX BORD;UNICA;4;13,00;52,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2018_321_0002492.txt;FAT;22/11/2018;8146,56;8020,56;2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814 | 2018 04/OBAG/1074 136814
