fall 2018 presentation/catalogo 2018 continuativo.txt;2 items=2 ; HLESG000-PES00-054 HLESG000-PES00-054;17
fall 2019 presentation_/catalogo continuativo fall 19.txt;5 items=3 2 ; HLESG000-ECS01-084 HLESG000-ECS01-055 HLESG000-PES00-054 HLESG000-ROS00-055 HLESG000-ROS00-054;14,15
spring 2018 presentation/catalogo spring 2018 continuativo.txt;4 items=2 2 ; HLESG000-PES00-054 HLESG000-PES00-054 HLESG000-ROS00-055 HLESG000-ROS00-054;15,34
spring 2019 presentation/catalogo Continuativo_Spring_19.txt;5 items=3 2 ; HLESG000-ECS01-084 HLESG000-ECS01-055 HLESG000-PES00-054 HLESG000-ROS00-055 HLESG000-ROS00-054;18,19
spring 2019 presentation/catalogo Spring 19 continuativo.txt;2 items=2 ; HLESG000-PES00-054 HLESG000-PES00-054;17
summer 2018 presentation/catalogo summer 2018 continuativo.txt;2 items=2 ; HLESG000-PES00-054 HLESG000-PES00-054;19
summer 2019 presentation/catalogo summer 2019 continuativo.txt;5 items=3 2 ; HLESG000-ECS01-084 HLESG000-ECS01-055 HLESG000-PES00-054 HLESG000-ROS00-055 HLESG000-ROS00-054;16,17
summer 2019 presentation/catalogo summer_beach 2019.txt;1 item=1 ; OBAGB034-EVS00-075;20
winter 2018 presentation/catalogo winter 18 continuativo.txt;2 items=2 ; HLESG000-PES00-054 HLESG000-PES00-054;17
winter 2018 presentation/catalogo winter 18.txt;3 items=3 ; OBAGB034-EVS00-389 OBAGB034-EVS00-389 OBAGB034-EVS00-075;19
