8050846060883;HLESAH02-PLS00-017; O bag spring 19;31; manichetto maxi catena;HLESAH02;PLS00;17;blu navy;blue navy
8050846060876;HLESAH02-PLS00-055; O bag spring 19;31; manichetto maxi catena;HLESAH02;PLS00;55;nero;black
8050846060913;HLESAH02-PLS00-088; O bag spring 19;31; manichetto maxi catena;HLESAH02;PLS00;88;turchese;turquoise
8050846060890;HLESAH02-PLS00-224; O bag spring 19;31; manichetto maxi catena;HLESAH02;PLS00;224;verde inglese;english green
8050846060920;HLESAH02-PLS00-588; O bag spring 19;31; manichetto maxi catena;HLESAH02;PLS00;588;orchidea;orchid
8050846035126;HLESCE01-ECS00-017; O bag fall 2018;18; scocca O pocket micro EVA;HLESCE01;ESC00;17;blu navy;navy blue
8050846035126;HLESCE01-ECS00-017; O bag winter 2018;p034-01; manico doppia catena a “t”;HLESCE01;ECS00;017;blu navy + oro;navy blue + gold
8050846035140;HLESCE01-ECS00-018; O bag fall 2018;18; scocca O pocket micro EVA;HLESCE01;ESC00;18;bordeaux;burgundy
8050846035140;HLESCE01-ECS00-018; O bag winter 2018;p034-02; manico doppia catena a “t”;HLESCE01;ECS00;018;bordeaux + oro;burgundy + gold
8050846038943;HLESCE01-ECS00-020; O bag fall 2018;18; scocca O pocket micro EVA;HLESCE01;ESC00;20;bronzo;bronze
8050846043404;HLESCE01-ECS00-020; O bag winter 2018;p034-03; manico doppia catena a “t”;HLESCE01;ECS00;020;bronzo + oro;bronze + gold
8050846035133;HLESCE01-ECS00-055; O bag fall 2018;18; scocca O pocket micro EVA;HLESCE01;ESC00;55;nero;black
8050846035133;HLESCE01-ECS00-055; O bag spring 19;22;" Manico doppia catena a ""t""";HLESCE01;ECS00;55;nero + argento;black + silver
8050846045699;HLESCE01-ECS00-055; O bag winter 2018;p034-05; manico doppia catena a “t”;HLESCE01;ECS00;055;nero + silver;black + silver
8050846045699;HLESCE01-ECS00-084; O bag winter 2018;p034-04; manico doppia catena a “t”;HLESCE01;ECS00;084;testa di moro + oro;dark brown + gold
8050846061163;HLESCE01-ECS07-017; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECS07;17;blu navy + argento;blue navy + silver
8050846061194;HLESCE01-ECS07-048; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECS07;48;mattone + argento;brick + silver
8050846042896;HLESCE01-ECS07-075; O bag winter 2018;p034-01; manico doppia catena a “t”;HLESCE01;ECS07;075;rosa smoke + silver;rose smoke + silver
8050846061170;HLESCE01-ECS07-078; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECS07;78;sabbia + argento;sand + silver
8050846042889;HLESCE01-ECS07-133; O bag winter 2018;p034-03; manico doppia catena a “t”;HLESCE01;ECS07;133;grigio chiaro + silver;light grey + silver
8050846061187;HLESCE01-ECS07-224; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECS07;224;verde inglese + argento;english green + silver
8050846061149;HLESCE01-ECSA1-017; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECSA1;17;blu navy + catena blu;blue navy + blue chain
8050846061156;HLESCE01-ECSA1-055; O bag spring 19;23;" Manico doppia catena a ""t""";HLESCE01;ECSA1;55;nero + catena nera;black + black chain
8050846035058;HLESD000-ECS35-017; O bag winter 2018;p033-01; manico lungo componibile;HLESD000;ECS35;017;blu navy;navy blue
8050846035065;HLESD000-ECS35-018; O bag winter 2018;p033-02; manico lungo componibile;HLESD000;ECS35;018;bordeaux;burgundy
8050846035164;HLESD000-ECS35-055; O bag winter 2018;p033-03; manico lungo componibile;HLESD000;ECS35;055;nero;black
8050450217444;HLESF300-PES00-009; O bag fall 2018;18; manico con fibbia rombo;HLESF300;PES00;9;blu;blue
8058983596531;HLESF300-PES00-093; O bag fall 2018;18; manico con fibbia rombo;HLESF300;PES00;93;vino;wine
8050846042384;HLESF800-ECS94-017; O bag winter 2018;p028-01; manico con fibbia a goccia;HLESF800;ECS94;017;blu navy;navy blue
8050846049154;HLESF800-ECS94-055; O bag winter 2018;p028-02; manico con fibbia a goccia;HLESF800;ECS94;055;nero;black
