8050846044845;HLESAD01-FAS09-133;p026-1-06;grigio chiaro;light grey;winter 2018 presentation/catalogo winter 18.txt; manichetto tubolare corto +
8050846030923;HLESAD01-FAS09-137;p026-1-07;bluette;bright blue;winter 2018 presentation/catalogo winter 18.txt; manichetto tubolare corto +
8050846030923;HLESAD01-FAS09-137;p026-1-08;bluette;bright blue;fall 2018 presentation/catalogo fall 2018.txt; manichetto tubolare corto +
8050846038929;HLESAD01-FAS09-379;p026-1-06;blu notte;night blue;fall 2018 presentation/catalogo fall 2018.txt; manichetto tubolare corto +
8050846038936;HLESAD01-FAS09-541;p026-1-05;verde bosco;green forest;fall 2018 presentation/catalogo fall 2018.txt; manichetto tubolare corto +
8050846031401;HLESAD01-FAS31-086;p027-1-01;tortora;dove - grey;fall 2018 presentation/catalogo fall 2018.txt; manichetto tubolare corto +
8050846061002;HLESAG01-ECS07-017;p026-1-01;blu navy;blue navy;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060937;HLESAG01-ECS07-026;p026-1-03;cobalto;cobalt blue;catalogo Spring 19.txt; Manichetto piatto + clip
8050846061019;HLESAG01-ECS07-048;p026-1-05;mattone;brick;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060982;HLESAG01-ECS07-055;p026-1-02;nero;black;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060999;HLESAG01-ECS07-078;p026-1-04;sabbia;sand;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060951;HLESAG01-ECS07-224;p026-1-06;verde inglese;english green;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060944;HLESAG01-ECS07-486;p026-1-07;pink;pink;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060968;HLESAG01-ECS07-587;p026-1-09;celery green;celery green;catalogo Spring 19.txt; Manichetto piatto + clip
8050846060975;HLESAG01-ECS07-588;p026-1-10;orchidea;orchid;catalogo Spring 19.txt; Manichetto piatto + clip
8050846061026;HLESAG01-ECS07-589;p026-1-08;lily grey;lily grey;catalogo Spring 19.txt; Manichetto piatto + clip
8056095064481;HLESC100-TES12-028;p022-2-01;ecru;ecru;summer 2018 presentation/catalogo summer 2018.txt; manico catena angular lungo
8056095064474;HLESC100-TES12-103;p022-2-02;denim;denim;summer 2018 presentation/catalogo summer 2018.txt; manico catena angular lungo
8058983596586;HLESC200-ECS05-084;p022-1-01;testa di moro;dark brown;summer 2018 presentation/catalogo summer 2018.txt; manico catena goccia lungo
8050846089594;HLESC901-ECS00-078;p031-1-01;sabbia + oro;sand + gold;fall 2019 presentation_/catalogo fall 19.txt; manico catena corto a “t”
8050846089587;HLESC901-ECS00-615;p031-1-02;military + oro;military + gold;fall 2019 presentation_/catalogo fall 19.txt; manico catena corto a “t”
8050846089570;HLESC901-ECS07-055;p031-2-01;nero + argento;black + silver;fall 2019 presentation_/catalogo fall 19.txt; manico catena corto a “t”
8050846089563;HLESC901-ECS07-371;p031-2-02;latte + argento;milk + silver;fall 2019 presentation_/catalogo fall 19.txt; manico catena corto a “t”
8050846035126;HLESCE01-ECS00-017;p028-2-01;blu navy + oro;blue navy + gold;fall 2019 presentation_/catalogo fall 19.txt; manico doppia catena a “t”
