8050846002784;ACCEC002-ECS03-076;POMPONETE2018   ;SURED;0
8050846002791;ACCEC002-ECS03-089;POMPONETE2018   ;SUVER;0
8050846003248;SHOUBG00-ECS00-055;BANDOULIERE     ;BLACK;0
8050846003309;OBAGB002-EVS18-371;MINIOBODYCHEVRON;WHITE;0
8050846003316;OBAGB002-EVS18-055;MINIOBODYCHEVRON;BLACK;0
8050846003620;OBAGS001-TES01-026;CANVAS          ;COBAL;0
8050846004023;OBAGS016-TES01-026;CANOMOON        ;COBAL;0
8050846004306;OBAGA000-ECS42-017;CLIP            ;NAVY ;0
8050846004313;OBAGA000-ECS42-422;CLIP            ;SKB  ;0
8050846004313;OBAGA000-ECS42-479;CLIP            ;SKB  ;0
8050846004337;ACCEC002-ECS03-026;POMPONETE2018   ;SUCOB;0
8050846004566;HLESMD00-ECS46-479;ANSES/MICROTUB  ;SKYWA;0
8050846004573;HLESMD00-ECS46-017;ANSES/MICROTUB  ;NAVY ;0
8050846004580;HLESMD00-ECS46-076;ANSES/MICROTUB  ;RED  ;0
8050846004863;OBAGS001-TES01-130;CANVAS          ;AZUR ;0
8050846004894;OBAGS001-TES01-075;CANVAS          ;ROSMO;0
8050846004931;OBAGS002-TES01-130;MINICANVAS      ;AZUR ;0
8050846004948;OBAGS002-TES01-075;MINICANVAS      ;ROSMO;0
8050846005075;OBAGS016-TES01-075;CANOMOON        ;ROSMO;0
8050846005297;OBAGA000-ECS40-075;CLIP            ;ROSMO;0
8050846005419;ACCEC002-ECS03-075;POMPONETE2018   ;SUROS;0
8050846005426;ACCEC002-ECS03-479;POMPONETE2018   ;SUSKW;0
8050846005433;ACCEC002-ECS03-133;POMPONETE2018   ;SUGRE;0
8050846006379;OBAGB001-EVS00-347;OBODY           ;CEDRO;0
8050846006393;OBAGB001-EVS00-026;OBODY           ;COBAL;0
8050846006423;OBAGB001-EVS00-486;OBODY           ;PINK ;0
8050846006447;OBAGB001-EVS00-485;OBODY           ;ATLAN;0
8050846006461;OBAGB018-EVS03-371;MINIOBEACH      ;WHITE;0
8050846006478;OBAGB018-EVS03-017; ; ; 
8050846006492;OBAGB018-EVS03-422;MINIOBEACH      ;SANGR;0
8050846006508;OBAGB018-EVS03-347;MINIOBEACH      ;CEDRO;0
8050846006515;OBAGB018-EVS03-026;MINIOBEACH      ;COBAL;0
8050846006546;OBAGB002-EVS00-347;MINIOBODY       ;CEDRO;0
8050846006553;OBAGB002-EVS00-422;MINIOBODY       ;SANGR;0
8050846006560;OBAGB002-EVS00-026;MINIOBODY       ;COBAL;0
8050846006584;OBAGB002-EVS00-483;MINIOBODY       ;CHAMP;0
8050846006591;OBAGB002-EVS00-486;MINIOBODY       ;PINK ;0
8050846006638;OBAGB010-EVS00-347;OCITY           ;CEDRO;0
8050846006645;OBAGB010-EVS00-422;OCITY           ;SANGR;0
8050846006652;OBAGB010-EVS00-026;OCITY           ;COBAL;0
8050846006775;OBAGB016-EVS00-347;OMOON           ;SANGR;0
8050846006775;OBAGB016-EVS00-422;OMOON           ;SANGR;0
8050846006782;OBAGB016-EVS00-026;OMOON           ;COBAL;0
8050846006805;OBAGB016-EVS00-075;OMOON           ;ROSMO;0
8050846006928;OBAGB206-EVS00-347;COQUOPOCKET     ;CEDRO;0
8050846006935;OBAGB206-EVS00-422;COQUOPOCKET     ;SANGR;0
8050846006942;OBAGB206-EVS00-026;COQUOPOCKET     ;COBAL;0
8050846006959;OBAGB206-EVS00-479;COQUOPOCKET     ;SKYWA;0
8050846006966;OBAGB206-EVS00-483;OPOCKET         ;SKYWA;0
8050846007130;OBAGB019-EVS00-371; ; ; 
8050846007147;OBAGB019-EVS00-347; ; ; 
8050846007178;OBAGB019-EVS00-026; ; ; 
8050846007253;OBAGB021-EVS03-371;OSWING          ;WHITE;0
8050846007260;OBAGB021-EVS03-078; ; ; 
8050846007284;OBAGB021-EVS03-347;OSWING          ;CEDRE;0
8050846007291;OBAGB021-EVS03-026;OSWING          ;COBAL;0
8050846008427;OBAGAM16-MAS00-078; ; ; 
8050846009875;HLESFC00-ECS08-009; ; ; 
8050846010581;OCLKS007-SIS01-090-L; ; ; 
8050846010598;OCLKS007-SIS01-081-L; ; ; 
8050846010604;OCLKS007-SIS01-014-L; ; ; 
8050846010611;OCLKS007-SIS01-096-L; ; ; 
8050846010628;OCLKS007-SIS01-077-L; ; ; 
