CodeBarre;ACCEC002-ECS65-076; O bag spring 2018;158; accessori charms nappina;ACCEC002;ECS65;076;rosso;red
CodeBarre;ACCEC006-FAS45-002; O bag fall 2018;131; accessorio portachiavi;ACCEC006;FAS45;2;amaranto;amaranth
CodeBarre;ACCEC006-FAS45-137; O bag fall 2018;131; accessorio portachiavi;ACCEC006;FAS45;137;bluette;bright blue
CodeBarre;ACCEC006-FAS45-371; O bag fall 2018;131; accessorio portachiavi;ACCEC006;FAS45;371;latte;milk
CodeBarre;ACCEC007-EVS00-001; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;001;acqua;water
CodeBarre;ACCEC007-EVS00-002; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;002;amaranto;amaranth
CodeBarre;ACCEC007-EVS00-008; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;008;bianco;white
CodeBarre;ACCEC007-EVS00-017; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;017;blu navy;navy blue
CodeBarre;ACCEC007-EVS00-055; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;055;nero;black
CodeBarre;ACCEC007-EVS00-067; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;067;phard;phard
CodeBarre;ACCEC007-EVS00-069; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;069;porpora;purple
CodeBarre;ACCEC007-EVS00-108; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;108;terracotta;terracotta
CodeBarre;ACCEC007-EVS00-119; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;119;fragola;strawberry
CodeBarre;ACCEC007-EVS00-131; O bag new products 2017;10; accessorio fiori grandi in EVA;ACCEC007;EVS00;131;verde antico;antique green
CodeBarre;ACCEC007-EVS00-131; O bag new products 2017;11; accessorio fiori piccoli in;ACCEC007;EVS00;131;verde antico;antique green
CodeBarre;ACCEC007-EVS00-133; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;133;grigio chiaro;light grey
CodeBarre;ACCEC007-EVS00-136; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;136;becco d'oca;duck beack
CodeBarre;ACCEC007-EVS00-137; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;137;bluette;bright blue
CodeBarre;ACCEC007-EVS00-139; O bag new products 2017;11; accessorio fiori grandi in EVA;ACCEC007;EVS00;139;mela;apple
CodeBarre;ACCEC009-TESO1-055; O bag flash beach 2018;70; accessori maxi pon pon +;ACCEC009;TESO1;055;nero;black
CodeBarre;ACCEC009-TESO1-371; O bag flash beach 2018;70; accessori maxi pon pon +;ACCEC009;TESO1;371;latte;milk
CodeBarre;ACCEC009-TESO1-518; O bag flash beach 2018;70; accessori maxi pon pon +;ACCEC009;TESO1;518;arancione - fucsia - viola;orange - fuchsia - violet
CodeBarre;ACCEC010-TES01-054; O bag flash beach 2018;70; accessori nappina + borsina;ACCEC010;TES01;054;naturale;natural
CodeBarre;ACCEC013-EVS34-371; O bag 4 SEASONS | ss '18;52; accessorio portachiavi;ACCEC013;EVS34;371;latte;milk
CodeBarre;ACCEC013-EVS34-479; O bag 4 SEASONS | ss '18;52; accessorio portachiavi;ACCEC013;EVS34;479;skyway;skyway
CodeBarre;ACCEC013-EVS34-485; O bag 4 SEASONS | ss '18;52; accessorio portachiavi;ACCEC013;EVS34;485;atlantic;atlantic
CodeBarre;ACCEC013-EVS34-486; O bag 4 SEASONS | ss '18;52; accessorio portachiavi;ACCEC013;EVS34;486;pink;pink
CodeBarre;ACCEC014-EVS34-017; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;017;blu navy;navy blue
CodeBarre;ACCEC014-EVS34-347; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;347;cedro;cedro
CodeBarre;ACCEC014-EVS34-484; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;484;coral;coral
CodeBarre;ACCEC014-EVS34-486; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;486;pink;pink
CodeBarre;ACCEC015-EVS34-017; O bag 4 SEASONS | ss '18;53; accessorio portachiavi;ACCEC015;EVS34;017;blu navy;navy blue
CodeBarre;ACCEC015-EVS34-055; O bag 4 SEASONS | ss '18;53; accessorio portachiavi;ACCEC015;EVS34;055;nero;black
CodeBarre;ACCEC015-EVS34-422; O bag 4 SEASONS | ss '18;53; accessorio portachiavi;ACCEC015;EVS34;422;sangria;sangria
CodeBarre;ACCEC015-EVS34-484; O bag 4 SEASONS | ss '18;53; accessorio portachiavi;ACCEC015;EVS34;484;coral;coral
CodeBarre;ACCEC018-EVS06-026; .capsule farfalle 2018;17; accessorio portachiavi;ACCEC018;EVS06;026;cobalto;cobalto
CodeBarre;ACCEC018-EVS06-075; .capsule farfalle 2018;17; accessorio portachiavi;ACCEC018;EVS06;075;rosa smoke;rosa smoke
