'024;025;OBAGB206-EVS00-587;CORPS INFERIEUR O POCKET EVA COMPOUND;UNICA;2;4,800;9,60;celery green;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'025;040;OBAGB451-ECS07-587;CORPS COMPLET O BAG DOUBLE EN FAUX CUIR EFFET GRIFFE;UNICA;1;27,780;27,78;celery green;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'026;017;OBAGP006-ECSA7-371;RABAT O POCKET EN FAUX CUIR EFFET GRIFFE IMPRIME JAPAN;UNICA;1;13,330;13,33;latte;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'027;052;OBAGPC48-ECS07-088;RABAT AVEC CHAINE O BAG SHEEN EN FAUX CUIR EFFET GRIFFE;UNICA;1;16,670;16,67;turchese;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'028;049;OBAGPC48-ECS07-587;RABAT AVEC CHAINE O BAG SHEEN EN FAUX CUIR EFFET GRIFFE;UNICA;1;16,670;16,67;celery green;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'029;008;OBAGPF06-ECS07-587;RABAT TROUE À BANDEAU O POCKET EN FAUX CUIR EFFET GRIFFE;UNICA;1;15,560;15,56;celery green;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'030;007;OBAGPX47-ECSA7-598;RABAT AVEC POCHE ET ANSES O BAG QUEEN EN FAUX CUIR EFFET GRIFFE IMPRIME JAPAN;UNICA;1;21,480;21,48;latte/bamboo;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'031;018;OBAGS001-TES01-088;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA;2;7,800;15,60;turchese;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'032;042;OBAGS001-TES01-130;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA;2;7,800;15,60;azzurro;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'033;016;OBAGS002-TES01-088;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;2;7,080;14,16;turchese;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'034;031;OBAGS002-TES01-130;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;2;7,080;14,16;azzurro;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'035;002;OBAGS016-TES01-009;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;1;10,800;10,80;blu;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
'036;027;OBAGS016-TES01-088;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;1;10,800;10,80;turchese;PROF725TOULOUSE.txt;PROF;27/03/2019;891,99;848,99;2019 01/OBAG/2928 298374
