 01;;Fichier;;2019-02-SpringBloom/FAT_2019_50_0000279.txt
 02;;Boutique;;BLAGNAC
 03;;Ref. facture;;2019 50 279 04/02/2019
 04;;Total facture;;3323,72
 05;;Total produits;;3285,72
 06;;Cumul montant;;3312.49;;Etat courant = 'fichierTraite'
 07;ANOMALIE MONTANT;;3312.49;3285.72
'044;079;OBAGB451-ECS07-017;CORPS COMPLET O BAG DOUBLE EN FAUX CUIR EFFET GRIFFE;UNICA;4;27,780;111,12
'045;017;OBAGB451-ECS07-026;CORPS COMPLET O BAG DOUBLE EN FAUX CUIR EFFET GRIFFE;UNICA;4;27,780;111,12
'046;007;OBAGPA06-EVS00-017;RABAT TOURNIQUET O POCKET EVA COMPOUND;UNICA;2;10,000;20,00
'047;059;OBAGPA06-EVS00-026;RABAT TOURNIQUET O POCKET EVA COMPOUND;UNICA;2;10,000;20,00
'048;060;OBAGPA06-EVS00-224;RABAT TOURNIQUET O POCKET EVA COMPOUND;UNICA;2;10,000;20,00
'049;025;OBAGPA06-EVS00-486;RABAT TOURNIQUET O POCKET EVA COMPOUND;UNICA;2;10,000;20,00
'050;026;OBAGPC48-ECS07-017;RABAT AVEC CHAINE O BAG SHEEN EN FAUX CUIR EFFET GRIFFE;UNICA;2;16,670;33,34
'051;027;OBAGPC48-ECS07-026;RABAT AVEC CHAINE O BAG SHEEN EN FAUX CUIR EFFET GRIFFE;UNICA;2;16,670;33,34
'052;038;OBAGPC48-ECS07-422;RABAT AVEC CHAINE O BAG SHEEN EN FAUX CUIR EFFET GRIFFE;UNICA;2;16,670;33,34
'053;086;OBAGPF06-ECS07-026;RABAT TROUE À BANDEAU O POCKET EN FAUX CUIR EFFET GRIFFE;UNICA;2;15,560;31,12
'054;044;OBAGPF06-ECS07-224;RABAT TROUE À BANDEAU O POCKET EN FAUX CUIR EFFET GRIFFE;UNICA;2;15,560;31,12
'055;094;OBAGPF06-ECS07-486;RABAT TROUE À BANDEAU O POCKET EN FAUX CUIR EFFET GRIFFE;UNICA;2;15,560;31,12
'056;008;OBAGPT47-ECS07-017;RABAT À POCHE O BAG QUEEN EN FAUX CUIR EFFET GRIFFE;UNICA;2;15,560;31,12
'057;009;OBAGPT47-ECS07-224;RABAT À POCHE O BAG QUEEN EN FAUX CUIR EFFET GRIFFE;UNICA;2;15,560;31,12
'058;057;OBAGS001-TES01-026;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA;4;7,800;31,20
'059;033;OBAGS001-TES01-422;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA;4;7,800;31,20
'060;042;OBAGS001-TES01-486;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA;4;7,800;31,20
'061;083;OBAGS002-TES01-026;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;5;7,080;35,40
'062;043;OBAGS002-TES01-422;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;5;7,080;35,40
'063;068;OBAGS002-TES01-486;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;5;7,080;35,40
'064;069;OBAGS016-TES01-009;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;4;10,800;43,20
'065;084;OBAGS016-TES01-026;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;2;10,800;21,60
'066;020;OBAGS016-TES01-422;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;2;10,800;21,60
'067;070;OBAGS016-TES01-486;POCHETTE INTERIEURE FERMETURE ECLAIR O MOON EN TISSU CANVAS;UNICA;2;10,800;21,60
'068;034;OBAGS019-TES01-017;POCHETTE INTERIEURE O SQUARE EN TISSU CANVAS;UNICA;1;13,920;13,92
'069;071;OBAGS019-TES01-026;POCHETTE INTERIEURE O SQUARE EN TISSU CANVAS;UNICA;1;13,920;13,92
'070;021;OBAGS019-TES01-422;POCHETTE INTERIEURE O SQUARE EN TISSU CANVAS;UNICA;1;13,920;13,92
'071;072;OBAGS046-TES01-017;POCHETTE INTERIEURE À FERMETURE ECLAIR O BAG REVERSE EN TISSU CANVAS;UNICA;3;10,740;32,22
'072;058;OBAGS046-TES01-026;POCHETTE INTERIEURE À FERMETURE ECLAIR O BAG REVERSE EN TISSU CANVAS;UNICA;3;10,740;32,22
'073;085;OBAGS601-TESW9-017;POCHETTE INTERIEURE SWITCH O BAG EN TISSU IMPRIME BOTANICAL MAXI;UNICA;2;13,330;26,66
'074;090;OBAGS601-TESW9-371;POCHETTE INTERIEURE SWITCH O BAG EN TISSU IMPRIME BOTANICAL MAXI;UNICA;2;13,330;26,66
'075;035;OBAGS601-TESY3-026;POCHETTE INTERIEURE SWITCH O BAG EN TISSU IMPRIME FLOWER CAMOUFLAGE;UNICA;2;11,850;23,70
'076;022;OBAGS602-TESX1-017;POCHETTE INTERIEURE SWITCH O BAG MINI EN TISSU IMPRIME BOTANICAL MINI;UNICA;3;13,330;39,99
'077;091;OBAGS602-TESX1-371;POCHETTE INTERIEURE SWITCH O BAG MINI EN TISSU IMPRIME BOTANICAL MINI;UNICA;3;13,330;39,99
'078;092;OBAGS602-TESY3-026;POCHETTE INTERIEURE SWITCH O BAG MINI EN TISSU IMPRIME FLOWER CAMOUFLAGE;UNICA;3;11,850;35,55
'079;006;OBAGS616-TESY3-026;POCHETTE INTERIEURE SWITCH O MOON EN TISSU IMPRIME FLOWER CAMOUFLAGE;UNICA;2;11,850;23,70
'080;036;OBAGS646-TESW9-017;POCHETTE INTERIEURE SWITCH O BAG REVERSE EN TISSU IMPRIME BOTANICAL MAXI;UNICA;2;11,850;23,70
'081;073;OBAGS646-TESW9-371;POCHETTE INTERIEURE SWITCH O BAG REVERSE EN TISSU IMPRIME BOTANICAL MAXI;UNICA;2;11,850;23,70
'082;093;OBAGT001-TESW9-017;REVERS O BAG EN TISSU IMPRIME BOTANICAL MAXI;UNICA;3;11,850;35,55
'083;023;OBAGT001-TESY3-026;REVERS O BAG EN TISSU IMPRIME FLOWER CAMOUFLAGE;UNICA;3;10,740;32,22
'084;024;OBAGT002-TESX1-017;REVERS O BAG MINI EN TISSU IMPRIME BOTANICAL MINI;UNICA;3;11,850;35,55
'085;037;OBAGT002-TESY3-026;REVERS O BAG MINI EN TISSU IMPRIME FLOWER CAMOUFLAGE;UNICA;3;10,740;32,22
'086;039;OCLKD001-MESC4-062;O CLOCK MECANISME METAL FLOWER;UNICA;4;10,000;40,00
'087;045;OCLKD001-MESC4-389;O CLOCK MECANISME METAL FLOWER;UNICA;4;10,000;40,00
'088;061;SHOUCH02-PLS00-017;BANDOULIÈRE MAXI CHAINE GOURMETTE 110 PLEXIGLAS;UNICA;3;12,590;37,77
'089;095;SHOUCH02-PLS00-224;BANDOULIÈRE MAXI CHAINE GOURMETTE 110 PLEXIGLAS;UNICA;3;12,590;37,77
'090;074;SHOUGB19-TESW8-224;BANDOULIÈRE 80/120 + EMBOUT DECORE EN TISSU RUBAN À FINES RAYURES;UNICA;4;12,590;50,36
'091;046;SHOUGB19-TESW8-486;BANDOULIÈRE 80/120 + EMBOUT DECORE EN TISSU RUBAN À FINES RAYURES;UNICA;4;12,590;50,36
'092;087;SHOUX000-ECS07-017;BANDOULIÈRE EXTRASLIM 110 EN FAUX CUIR EFFET GRIFFE;UNICA;3;8,520;25,56
'093;010;SHOUX000-ECS07-026;BANDOULIÈRE EXTRASLIM 110 EN FAUX CUIR EFFET GRIFFE;UNICA;3;8,520;25,56
'094;011;SHOUX000-ECS07-224;BANDOULIÈRE EXTRASLIM 110 EN FAUX CUIR EFFET GRIFFE;UNICA;3;8,520;25,56
'095;096;SHOUX000-ECS07-486;BANDOULIÈRE EXTRASLIM 110 EN FAUX CUIR EFFET GRIFFE;UNICA;3;8,520;25,56
'096;012;SHOUX101-ECS07-017;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR EFFET GRIFFE;UNICA;3;16,670;50,01
