'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero+ argento;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero+ argento;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'009;076;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96;ANSES/DOUBLECHAI;BLACK;0;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'010;168;8050846086418;HLESCE01-ECS00-612;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;3;12,660;37,98; ; ; ;blu navy + argento;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'011;087;8050846086401;HLESCE01-ECS00-613;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96; ; ; ;cuoio + argento;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'012;128;8050846089778;HLESG020-ECSC7-055;ANSES LONGUES + GOUTTE EN FAUX CUIR SPIRALE BICOLORE;UNICA;2;15,560;31,12; ; ; ;nero;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
'013;062;8050846089792;HLESG020-ECSC7-076;ANSES LONGUES + GOUTTE EN FAUX CUIR SPIRALE BICOLORE;UNICA;2;15,560;31,12; ; ; ;rosso;FAT_2019_50_0001933.txt;FAT;17/09/2019;6224,71;CodeBarre;2019 03/OBAG/1123 359262
