CodeBarre;OBAGB034-EVS00-599;p019-1-05;rame;copper;O bag winter 2018; scocca O bag glam EVA;;;
CodeBarre;OBAGB206-EVS00-002;p020-1-01;amaranto;amaranth;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-485;p020-1-02;atlantic;atlantic;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-018;p020-1-03;bordeaux;burgundy;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-463;p020-1-04;blu maya;maya blue;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-540;p020-1-05;curry;curry;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-050;p020-1-06;melanzana;aubergine;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-038;p020-1-07;grafite;graphite;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-071;p020-1-08;roccia;rock;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-076;p020-1-09;rosso;red;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-024;p020-1-10;cioccolato;chocolate;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-075;p020-1-11;rosa smoke;rose smoke;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-026;p020-1-12;cobalto;cobalt blue;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-017;p021-1-01;blu navy;navy blue;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-055;p021-1-02;nero;black;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-371;p021-1-03;latte;milk;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-078;p021-1-04;sabbia;sand;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-389;p021-1-05;silver;silver;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB206-EVS00-599;p021-1-06;rame;copper;O bag winter 2018; scocca sotto O pocket EVA;;;
CodeBarre;OBAGB024-EVS00-002;p022-1-01;amaranto;amaranth;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-017;p022-1-02;blu navy;navy blue;O bag winter 2018; scocca O pocket micro EVA;;;
CodeBarre;OBAGB024-EVS00-485;p022-1-03;atlantic;atlantic;O bag winter 2018; scocca O pocket micro EVA;;;
