codeBarre;Code compact;Catalogue;p000-01;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
codeBarre;OBAGB016-EVS00-038; O bag winter 2018;p008-06; scocca O moon EVA;OBAGB016;EVS00;038;grafite;graphite
codeBarre;OBAGB016-EVS00-050; O bag winter 2018;p008-07; scocca O moon EVA;OBAGB016;EVS00;050;melanzana;aubergine
codeBarre;OBAGB016-EVS00-076; O bag winter 2018;p008-08; scocca O moon EVA;OBAGB016;EVS00;076;rosso;red
codeBarre;OBAGB016-EVS00-026; O bag winter 2018;p008-09; scocca O moon EVA;OBAGB016;EVS00;026;cobalto;cobalt blue
codeBarre;OBAGB016-EVS00-075; O bag winter 2018;p008-10; scocca O moon EVA;OBAGB016;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB016-EVS00-024; O bag winter 2018;p008-11; scocca O moon EVA;OBAGB016;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB016-EVS00-599; O bag winter 2018;p008-12; scocca O moon EVA;OBAGB016;EVS00;599;rame;copper
codeBarre;OBAGB016-EVS00-017; O bag winter 2018;p009-01; scocca O moon EVA;OBAGB016;EVS00;017;blu navy;navy blue
codeBarre;OBAGB016-EVS00-371; O bag winter 2018;p009-02; scocca O moon EVA;OBAGB016;EVS00;371;latte;milk
codeBarre;OBAGB016-EVS00-055; O bag winter 2018;p009-03; scocca O moon EVA;OBAGB016;EVS00;055;nero;black
codeBarre;OBAGB016-EVS00-078; O bag winter 2018;p009-04; scocca O moon EVA;OBAGB016;EVS00;078;sabbia;sand
codeBarre;OBAGB016-EVS00-071; O bag winter 2018;p009-05; scocca O moon EVA;OBAGB016;EVS00;071;roccia;rock
codeBarre;OBAGB017-EVS00-002; O bag winter 2018;p010-01; scocca O moon light EVA;OBAGB017;EVS00;002;amaranto;amaranth
codeBarre;OBAGB017-EVS00-485; O bag winter 2018;p010-02; scocca O moon light EVA;OBAGB017;EVS00;485;atlantic;atlantic
codeBarre;OBAGB017-EVS00-018; O bag winter 2018;p010-03; scocca O moon light EVA;OBAGB017;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB017-EVS00-463; O bag winter 2018;p010-04; scocca O moon light EVA;OBAGB017;EVS00;463;blu maya;maya blue
codeBarre;OBAGB017-EVS00-540; O bag winter 2018;p010-05; scocca O moon light EVA;OBAGB017;EVS00;540;curry;curry
codeBarre;OBAGB017-EVS00-038; O bag winter 2018;p010-06; scocca O moon light EVA;OBAGB017;EVS00;038;grafite;graphite
codeBarre;OBAGB017-EVS00-050; O bag winter 2018;p010-07; scocca O moon light EVA;OBAGB017;EVS00;050;melanzana;aubergine
codeBarre;OBAGB017-EVS00-076; O bag winter 2018;p010-08; scocca O moon light EVA;OBAGB017;EVS00;076;rosso;red
codeBarre;OBAGB017-EVS00-599; O bag winter 2018;p010-09; scocca O moon light EVA;OBAGB017;EVS00;599;rame;copper
codeBarre;OBAGB017-EVS00-026; O bag winter 2018;p010-10; scocca O moon light EVA;OBAGB017;EVS00;026;cobalto;cobalt blue
codeBarre;OBAGB017-EVS00-075; O bag winter 2018;p010-11; scocca O moon light EVA;OBAGB017;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB017-EVS00-017; O bag winter 2018;p011-01; scocca O moon light EVA;OBAGB017;EVS00;017;blu navy;navy blue
codeBarre;OBAGB017-EVS00-055; O bag winter 2018;p011-02; scocca O moon light EVA;OBAGB017;EVS00;055;nero;black
codeBarre;OBAGB017-EVS00-078; O bag winter 2018;p011-03; scocca O moon light EVA;OBAGB017;EVS00;078;sabbia;sand
codeBarre;OBAGB017-EVS00-071; O bag winter 2018;p011-04; scocca O moon light EVA;OBAGB017;EVS00;071;roccia;rock
codeBarre;OBAGB017-EVS00-371; O bag winter 2018;p011-05; scocca O moon light EVA;OBAGB017;EVS00;371;latte;milk
codeBarre;OBAGB031-EVS00-002; O bag winter 2018;p012-01; scocca O bag knit EVA;OBAGB031;EVS00;002;amaranto;amaranth
codeBarre;OBAGB031-EVS00-017; O bag winter 2018;p012-02; scocca O bag knit EVA;OBAGB031;EVS00;017;blu navy;navy blue
codeBarre;OBAGB031-EVS00-485; O bag winter 2018;p012-03; scocca O bag knit EVA;OBAGB031;EVS00;485;atlantic;atlantic
codeBarre;OBAGB031-EVS00-018; O bag winter 2018;p012-04; scocca O bag knit EVA;OBAGB031;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB031-EVS00-463; O bag winter 2018;p012-05; scocca O bag knit EVA;OBAGB031;EVS00;463;blu maya;maya blue
codeBarre;OBAGB031-EVS00-540; O bag winter 2018;p012-06; scocca O bag knit EVA;OBAGB031;EVS00;540;curry;curry
codeBarre;OBAGB031-EVS00-371; O bag winter 2018;p012-07; scocca O bag knit EVA;OBAGB031;EVS00;371;latte;milk
codeBarre;OBAGB031-EVS00-055; O bag winter 2018;p012-08; scocca O bag knit EVA;OBAGB031;EVS00;055;nero;black
codeBarre;OBAGB031-EVS00-078; O bag winter 2018;p012-09; scocca O bag knit EVA;OBAGB031;EVS00;078;sabbia;sand
codeBarre;OBAGB031-EVS00-389; O bag winter 2018;p012-10; scocca O bag knit EVA;OBAGB031;EVS00;389;silver;silver
codeBarre;OBAGB031-EVS00-599; O bag winter 2018;p012-11; scocca O bag knit EVA;OBAGB031;EVS00;599;rame;copper
codeBarre;OBAGB031-EVS00-024; O bag winter 2018;p012-12; scocca O bag knit EVA;OBAGB031;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB031-EVS00-075; O bag winter 2018;p013-01; scocca O bag knit EVA;OBAGB031;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB031-EVS00-026; O bag winter 2018;p013-02; scocca O bag knit EVA;OBAGB031;EVS00;026;cobalto;cobalt blue
codeBarre;OBAGB032-EVS00-002; O bag winter 2018;p014-01; scocca O bag knit mini EVA;OBAGB032;EVS00;002;amaranto;amaranth
codeBarre;OBAGB032-EVS00-017; O bag winter 2018;p014-02; scocca O bag knit mini EVA;OBAGB032;EVS00;017;blu navy;navy blue
codeBarre;OBAGB032-EVS00-485; O bag winter 2018;p014-03; scocca O bag knit mini EVA;OBAGB032;EVS00;485;atlantic;atlantic
codeBarre;OBAGB032-EVS00-018; O bag winter 2018;p014-04; scocca O bag knit mini EVA;OBAGB032;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB032-EVS00-463; O bag winter 2018;p014-05; scocca O bag knit mini EVA;OBAGB032;EVS00;463;blu maya;maya blue
codeBarre;OBAGB032-EVS00-540; O bag winter 2018;p014-06; scocca O bag knit mini EVA;OBAGB032;EVS00;540;curry;curry
codeBarre;OBAGB032-EVS00-371; O bag winter 2018;p014-07; scocca O bag knit mini EVA;OBAGB032;EVS00;371;latte;milk
codeBarre;OBAGB032-EVS00-055; O bag winter 2018;p014-08; scocca O bag knit mini EVA;OBAGB032;EVS00;055;nero;black
codeBarre;OBAGB032-EVS00-078; O bag winter 2018;p014-09; scocca O bag knit mini EVA;OBAGB032;EVS00;078;sabbia;sand
codeBarre;OBAGB032-EVS00-389; O bag winter 2018;p014-10; scocca O bag knit mini EVA;OBAGB032;EVS00;389;silver;silver
codeBarre;OBAGB032-EVS00-559; O bag winter 2018;p014-11; scocca O bag knit mini EVA;OBAGB032;EVS00;559;rame;copper
codeBarre;OBAGB032-EVS00-024; O bag winter 2018;p014-12; scocca O bag knit mini EVA;OBAGB032;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB032-EVS00-075; O bag winter 2018;p015-01; scocca O bag knit mini EVA;OBAGB032;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB032-EVS00-026; O bag winter 2018;p015-02; scocca O bag knit mini EVA;OBAGB032;EVS00;026;cobalto;cobalt blue
