002;amaranto;amaranth;
038;grafite;graphite;
463;blu maya;maya blue;
050;melanzana;aubergine;
018;bordeaux;burgundy;
076;rosso;red;
024;cioccolato;chocolate;
485;atlantic;atlantic;
540;curry;curry;
559;rame;copper;
389;silver;silver;
075;rosa smoke;rose smoke;
371;latte;milk;
017;blu navy;navy blue;
071;roccia;rock;
055;nero;black;
078;sabbia;sand;
541;verde bosco;green forest;
026;cobalto;cobalt blue;
002;amaranto;amaranth;
485;atlantic;atlantic;
018;bordeaux;burgundy;
463;blu maya;maya blue;
024;cioccolato;chocolate;
540;curry;curry;
050;melanzana;aubergine;
038;grafite;graphite;
559;rame;copper;
075;rosa smoke;rose smoke;
389;silver;silver;
076;rosso;red;
017;blu navy;navy blue;
055;nero;black;
371;latte;milk;
071;roccia;rock;
078;sabbia;sand;
541;verde bosco;green forest;
026;cobalto;cobalt blue;
002;amaranto;amaranth;
485;atlantic;atlantic;
018;bordeaux;burgundy;
463;blu maya;maya blue;
540;curry;curry;
038;grafite;graphite;
050;melanzana;aubergine;
076;rosso;red;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
024;cioccolato;chocolate;
599;rame;copper;
017;blu navy;navy blue;
371;latte;milk;
055;nero;black;
078;sabbia;sand;
071;roccia;rock;
002;amaranto;amaranth;
485;atlantic;atlantic;
018;bordeaux;burgundy;
463;blu maya;maya blue;
540;curry;curry;
038;grafite;graphite;
050;melanzana;aubergine;
076;rosso;red;
599;rame;copper;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
017;blu navy;navy blue;
055;nero;black;
078;sabbia;sand;
071;roccia;rock;
371;latte;milk;
002;amaranto;amaranth;
017;blu navy;navy blue;
485;atlantic;atlantic;
018;bordeaux;burgundy;
463;blu maya;maya blue;
540;curry;curry;
371;latte;milk;
055;nero;black;
078;sabbia;sand;
389;silver;silver;
599;rame;copper;
024;cioccolato;chocolate;
075;rosa smoke;rose smoke;
026;cobalto;cobalt blue;
002;amaranto;amaranth;
017;blu navy;navy blue;
485;atlantic;atlantic;
018;bordeaux;burgundy;
463;blu maya;maya blue;
540;curry;curry;
371;latte;milk;
055;nero;black;
078;sabbia;sand;
389;silver;silver;
559;rame;copper;
024;cioccolato;chocolate;
075;rosa smoke;rose smoke;
026;cobalto;cobalt blue;
463;blu maya;maya blue;
017;blu navy;navy blue;
540;curry;curry;
018;bordeaux;burgundy;
371;latte;milk;
050;melanzana;aubergine;
055;nero;black;
076;rosso;red;
078;sabbia;sand;
541;verde bosco;green forest;
389;silver;silver;
559;rame;copper;
075;rosa smoke;rose smoke;
026;cobalto;cobalt blue;
024;cioccolato;chocolate;
485;atlantic;atlantic;
017;blu navy;navy blue;
540;curry;curry;
018;bordeaux;burgundy;
371;latte;milk;
050;melanzana;aubergine;
055;nero;black;
