 ANSES/ANGULAIREX;SAI  ;COL  ;  ;     S;     M;     L;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;H18  ;BRONZ;PA;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52
                 ;     ;     ;PV;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156
                 ;OBAG ;     ;ST;4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;4
                 ;H18  ;SLVG ;PA;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91
                 ;     ;     ;PV;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273
                 ;OBAG ;     ;ST;7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;7
 ANSE/TUB/ANNEAUX;SAI  ;COL  ;  ;0;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;E18  ;APPLE;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,24
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
                 ;OBAG ;     ;ST;4;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;4
                 ;E18  ;ATLAN;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,68
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
                 ;OBAG ;     ;ST;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
                 ;E18  ;BDX  ;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,56
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;E18  ;BLACK;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,68
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
                 ;OBAG ;     ;ST;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
                 ;E18  ;BOSCO;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,56
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;E18  ;CHAMP;PA;4,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,36
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
