'030;420222909-KG;Document Date doc. Client dest.;-;-;CodeBarre;PROF949_2019TOULOUSE.txt
'018;015;OCLKS007-SIS01-055-M;spring 2018 presentation/catalogo spring 2018 continuativo.txt;p050-1-06;O CLOCK BRACELET COVER EN SILICONE;M
'017;015;OCLKS007-SIS01-055-S;spring 2018 presentation/catalogo spring 2018 continuativo.txt;p050-1-06;O CLOCK BRACELET COVER EN SILICONE;S
'024;003;OCLKS007-SIS01-086-M;spring 2018 presentation/catalogo spring 2018 continuativo.txt;p050-1-07;O CLOCK BRACELET COVER EN SILICONE;M
'023;003;OCLKS007-SIS01-086-S;spring 2018 presentation/catalogo spring 2018 continuativo.txt;p050-1-07;O CLOCK BRACELET COVER EN SILICONE;S
'013;014;OBAGS121-TES01-054;spring 2018 presentation/catalogo spring 2018.txt;p122-2-01;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'014;021;OBAGS121-TES01-055;spring 2018 presentation/catalogo spring 2018.txt;p122-2-02;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'001;010;HLESG000-ROS00-008;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p019-1-01;ANSES LONGUES EN CORDE;UNICA
'002;013;HLESG000-ROS00-054;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p019-1-04;ANSES LONGUES EN CORDE;UNICA
'003;001;HLESGC00-ROS00-008;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p020-2-01;ANSES COURTES EN CORDE;UNICA
'005;007;HLESGC00-ROS00-055;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p020-2-02;ANSES COURTES EN CORDE;UNICA
'004;016;HLESGC00-ROS00-009;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p020-2-03;ANSES COURTES EN CORDE;UNICA
'027;017;SHOUC006-MTS01-004;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p022-1-01;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'028;004;SHOUC006-MTS01-061;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p022-1-02;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'029;006;SHOUC006-MTS01-348;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p022-1-03;LONGUE BANDOULIÈRE CHAINE O POCKET EN METAL GALVANISE;UNICA
'006;018;OBAGS001-TES01-008;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-1-01;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
'007;019;OBAGS001-TES01-054;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-1-02;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
'008;020;OBAGS001-TES01-055;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-1-04;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
'009;008;OBAGS002-TES01-008;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-2-01;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'012;012;OBAGS002-TES01-055;spring 2019 presentation/catalogo Continuativo_Spring_19.txt;p032-2-02;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
