'033;077;OBAGAM16-MAS00-026;-;-;ACCESSOIRE ANSES O MOON EN PLASTIQUE;UNICA
'035;033;OBAGAM16-MAS00-479;-;-;ACCESSOIRE ANSES O MOON EN PLASTIQUE;UNICA
'065;023;OBAGC534-ECSB3-026;-;-;FERMETURE À BANDEAU AVEC BOUCLE O BAG GLAM EN FAUX CUIR EFFET GRIFFE BLUEBELLS FLOWERS;UNICA
