'019;014;8051770300892;OCLKS007-SIS01-003-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20; ; ; ;arancione;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'020;015;8058983590454;OCLKS007-SIS01-012-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELETGREAT   ;WBLUE;S    ;blu acqua;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'021;015;8051770300908;OCLKS007-SIS01-012-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;WBLUE;M    ;blu acqua;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'022;026;8051770309154;OCLKS007-SIS01-014-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELET        ;SAPH ;S    ;blu elettrico;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'023;026;8051770309161;OCLKS007-SIS01-014-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;SAPH ;M    ;blu elettrico;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'024;016;8051770307976;OCLKS007-SIS01-022-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELET        ;SKB  ;S    ;carta da zucchero;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'025;016;8051770307983;OCLKS007-SIS01-022-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;SKB  ;M    ;carta da zucchero;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'026;007;8051770301059;OCLKS007-SIS01-025-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELET        ;POW  ;S    ;cipria;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'027;007;8051770300854;OCLKS007-SIS01-025-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;POW  ;M    ;cipria;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'028;002;8051770300960;OCLKS007-SIS01-036-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;YELL ;M    ;giallo;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'029;020;8050846050815;OCLKS007-SIS01-044-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80; ; ; ;lime;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'030;017;8051770301219;OCLKS007-SIS01-045-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELET        ;MAG  ;S    ;magenta;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'031;017;8051770301011;OCLKS007-SIS01-045-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;MAG  ;M    ;magenta;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'032;021;8058983599488;OCLKS007-SIS01-053-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;NAR  ;M    ;narcissus;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'033;008;8051770301196;OCLKS007-SIS01-069-S;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80;BRACELET        ;PLUM ;S    ;porpora;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'034;008;8051770300991;OCLKS007-SIS01-069-M;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20;BRACELET        ;PLUM ;M    ;porpora;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
