             ;EXPORT TARIFS BASE, le 22/03/2019 19:08:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;CRITERES T/U/B/L/S (Tous/Unique/Bornes/Liste/Sauf);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;NUMERO DE SOCIETE      U       1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;SAISON TARIF DE BASE   T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;CODE FOURNISSEUR ART   T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;MODELE                 T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
             ;ENVOYER PAR MAIL A     T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0CS01        ;RED  ;     ;H97  ;XS ;0;0;S  ;0;0;M  ;0;0;L  ;0;0;XL ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0
 ABATJOUROJOY     ;ANTHR;H17  ;H17  ;0;7,2;20;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0
 ABATJOUROJOY     ;AUBER;H17  ;H17  ;0;7,2;20;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0;0;   ;0
