XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB010-EVS00-422; O bag spring 2018;10; scocca O city;OBAGB010;EVS00;422;sangria;sangria;
CodeBarre;OBAGB010-EVS00-075; O bag spring 2018;10; scocca O city;OBAGB010;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB010-EVS00-479; O bag spring 2018;10; scocca O city;OBAGB010;EVS00;479;skyway;skyway;
CodeBarre;OBAGB010-EVS00-076; O bag spring 2018;10; scocca O city;OBAGB010;EVS00;076;rosso;red;
CodeBarre;OBAGB010-EVS00-084; O bag spring 2018;10; scocca O city;OBAGB010;EVS00;084;testa di moro;dark brown;
CodeBarre;OBAGB016-EVS00-347; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;347;cedro;cedro;
CodeBarre;OBAGB016-EVS00-422; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;422;sangria;sangria;
CodeBarre;OBAGB016-EVS00-075; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB016-EVS00-479; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;479;skyway;skyway;
CodeBarre;OBAGB016-EVS00-076; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;076;rosso;red;
CodeBarre;OBAGB016-EVS00-026; O bag spring 2018;11; scocca O moon;OBAGB016;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB016-EVS00-075; O bag spring 2018;12; scocca O moon;OBAGB016;EVS00;075;rosa smoke;rose smoke;
CodeBarre;OBAGB016-EVS00-371; O bag spring 2018;12; scocca O moon;OBAGB016;EVS00;371;latte;milk;
CodeBarre;OBAGB016-EVS00-483; O bag spring 2018;12; scocca O moon;OBAGB016;EVS00;483;champagne;champagne;
CodeBarre;OBAGB016-EVS19-479; O bag spring 2018;12; scocca O moon EVA;OBAGB016;EVS19;479;skyway;skyway;
CodeBarre;OBAGB017-EVS00-347; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;347;cedro;cedro;
CodeBarre;OBAGB017-EVS00-483; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;483;champagne;champagne;
CodeBarre;OBAGB017-EVS00-026; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB017-EVS00-422; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;422;sangria;sangria;
CodeBarre;OBAGB017-EVS00-075; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB017-EVS00-479; O bag spring 2018;13; scocca O moon light;OBAGB017;EVS00;479;skyway;skyway;
CodeBarre;OBAGB021-EVS03-078; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;078;sabbia;sand;
CodeBarre;OBAGB021-EVS03-076; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;076;rosso;red;
CodeBarre;OBAGB021-EVS03-371; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;371;latte;milk;
CodeBarre;OBAGB021-EVS03-026; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB021-EVS03-479; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;479;skyway;skyway;
CodeBarre;OBAGB021-EVS03-055; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;055;nero;black;
CodeBarre;OBAGB021-EVS03-017; O bag spring 2018;14; scocca O swing EVA;OBAGB021;EVS03;017;blu navy;navy blue;
CodeBarre;OBAGB021-EVS03-347; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;347;cedro;cedro;
CodeBarre;OBAGB021-EVS03-076; O bag spring 2018;15; scocca O swing EVA;OBAGB021;EVS03;076;rosso;red;
