XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;SHOUWG00_TES20--133;;18; tracolla new generico;SHOUWG00_TES20;;133;grigio chiaro;grigio chiaro
CodeBarre;SHOUWG00_TES20--133;;18; tracolla new generico;SHOUWG00_TES20;;133;grigio chiaro;grigio chiaro
CodeBarre;SHOUWG00_TES20--055;;18; tracolla new generico;SHOUWG00_TES20;;055;nero;nero
CodeBarre;SHOUWG00_TES20--055;;18; tracolla new generico;SHOUWG00_TES20;;055;nero;nero
CodeBarre;ACCEP044_TES20--025;;18; accessosrio pochette;ACCEP044_TES20;;025;cipria;cipria
CodeBarre;ACCEP044_TES20--025;;18; accessosrio pochette;ACCEP044_TES20;;025;cipria;cipria
CodeBarre;ACCEP044_TES20--111;;18; accessosrio pochette;ACCEP044_TES20;;111;ocra;ocra
CodeBarre;ACCEP044_TES20--111;;18; accessosrio pochette;ACCEP044_TES20;;111;ocra;ocra
CodeBarre;ACCEP044_TES20--081;;18; accessosrio pochette;ACCEP044_TES20;;081;smeraldo;smeraldo
CodeBarre;ACCEP044_TES20--081;;18; accessosrio pochette;ACCEP044_TES20;;081;smeraldo;smeraldo
CodeBarre;ACCEP044_TES20--017;;18; accessosrio pochette;ACCEP044_TES20;;017;blu navy;blu navy
CodeBarre;ACCEP044_TES20--017;;18; accessosrio pochette;ACCEP044_TES20;;017;blu navy;blu navy
CodeBarre;ACCEP044_TES20--133;;18; accessosrio pochette;ACCEP044_TES20;;133;grigio chiaro;grigio chiaro
CodeBarre;ACCEP044_TES20--133;;18; accessosrio pochette;ACCEP044_TES20;;133;grigio chiaro;grigio chiaro
CodeBarre;ACCEP044_TES20--055;;18; accessosrio pochette;ACCEP044_TES20;;055;nero;nero
CodeBarre;ACCEP044_TES20--055;;18; accessosrio pochette;ACCEP044_TES20;;055;nero;nero
