Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;075;;rosa smoke;rose smoke;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;484;;coral;coral;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;076;;rosso;red;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;483;;champagne;champagne;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;485;;atlantic;atlantic;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;479;;skyway;skyway;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;422;;sangria;sangria;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;084;;testa di moro;dark brown;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;347;;cedro;cedro;
 O bag summer 2018;11; scocca sotto O pocket EVA;OBAGB206;EVS00;486;;pink;pink;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;026;;cobalto;cobalt blue;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;075;;rosa smoke;rose smoke;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;422;;sangria;sangria;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;484;;coral;coral;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;485;;atlantic;atlantic;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;347;;cedro;cedro;
 O bag summer 2018;12; scocca O pocket micro EVA;OBAGB024;EVS00;486;;pink;pink;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;026;;cobalto;cobalt blue;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;484;;coral;coral;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;422;;sangria;sangria;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;485;;atlantic;atlantic;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;347;;cedro;cedro;
 O bag summer 2018;13; scocca O bag beach EVA;OBAGB012;EVS03;486;;pink;pink;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;026;;cobalto;cobalt blue;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;484;;coral;coral;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;422;;sangria;sangria;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;485;;atlantic;atlantic;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;347;;cedro;cedro;
 O bag summer 2018;14; scocca O bag beach mini;OBAGB018;EVS03;486;;pink;pink;
 O bag summer 2018;15; scocca O bag beach micro;OBAGB028;EVS03;484;;coral;coral;
 O bag summer 2018;15; scocca O bag beach micro;OBAGB028;EVS03;422;;sangria;sangria;
 O bag summer 2018;15; scocca O bag beach micro;OBAGB028;EVS03;479;;skyway;skyway;
 O bag summer 2018;15; scocca O bag beach micro;OBAGB028;EVS03;347;;cedro;cedro;
 O bag summer 2018;18; manico foulard tessuto;HLESU200;TESO4;017;;blu navy;navy blue;
 O bag summer 2018;18; manico foulard tessuto vichy;HLESU200;TESL5;026;;cobalto;cobalt blue;
 O bag summer 2018;18; manico foulard tessuto vichy;HLESU200;TESL5;076;;rosso;red;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;422;;sangria;sangria;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;017;;blu navy;navy blue;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;371;;latte;milk;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;485;;atlantic;atlantic;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;026;;cobalto;cobalt blue;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;484;;coral;coral;
 O bag summer 2018;19; manico lungo componibile;HLESD000;ECS35;055;;nero;black;
 O bag summer 2018;20; manico lungo componibile;HLESD000;TES20;078;;sabbia;sand;
 O bag summer 2018;20; manico lungo componibile;HLESD000;TES20;139;;mela;apple;
 O bag summer 2018;20; manico lungo corda treccina;HLESG000;ROS08;484;;coral;coral;
 O bag summer 2018;20; manico lungo corda treccina;HLESG000;ROS08;026;;cobalto;cobalt blue;
 O bag summer 2018;20; manico lungo corda treccina;HLESG000;ROS08;055;;nero;black;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;026;;cobalto;cobalt blue;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;128;;salmone;salmon;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;046;;mare;sea blue;
 O bag summer 2018;21; manico lungo ecopelle;HLESG000;ECS04;137;;bluette;bright blue;
