Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag flash beach 2018;23; manico lungo corda haiti;HLESG000;TES20;509;;moka;moka;
 O bag flash beach 2018;23; manico lungo corda treccina;HLESG000;ROS08;484;;coral;coral;
 O bag flash beach 2018;23; manico lungo corda treccina;HLESG000;ROS08;026;;cobalto;cobalt blue;
 O bag flash beach 2018;23; manico lungo corda treccina;HLESG000;ROS08;055;;nero;black;
 O bag flash beach 2018;24; manico foulard tessuto;HLESU200;TESO4;484;;coral;coral;
 O bag flash beach 2018;25; manichetto tubolare tessuto;HLESAD00;TES20;509;;moka;moka;
 O bag flash beach 2018;25; manico corto ecopelle;HLESGC00;ECS04;003;;arancione;orange;
 O bag flash beach 2018;25; manico corto ecopelle;HLESGC00;ECS04;183;;viola;violet;
 O bag flash beach 2018;25; manico corto ecopelle;HLESGC00;ECS04;128;;salmone;salmon;
 O bag flash beach 2018;25; manico corto ecopelle;HLESGC00;ECS04;051;;mostarda;mustard;
 O bag flash beach 2018;26; micromanico tubolare;HLESMD00;TES20;509;;moka;moka;
 O bag flash beach 2018;27; tracolla 120 ecopelle +;SHOUBH00;ECS76;125;;multicolor;multicolour;
 O bag flash beach 2018;27; tracolla 120 ecopelle +;SHOUBH00;ECS75;125;;multicolor;multicolour;
 O bag flash beach 2018;28; tracolla 80/120 tessuto iuta;SHOUGB00;TESM9;054;;naturale bianco;natural;
 O bag flash beach 2018;28; tracolla 80/120 tessuto iuta;SHOUGB00;TESM9;519;;naturale/nero;cedro/pink/red;
 O bag flash beach 2018;28; tracolla 80/120 tessuto;SHOUGB00;TESN2;484;;coral;coral;
 O bag flash beach 2018;28; tracolla 80/120 tessuto;SHOUGB00;TESN2;054;;naturale;natural;
 O bag flash beach 2018;29; tracolla 80/120 tessuto;SHOUGB00;TESK9;520;;cedro/corallo/pink;cedro/coral/pink;
 O bag flash beach 2018;29; tracolla 80/120 tessuto;SHOUGB00;TESK9;026;;cobalto;cobalt blue;
 O bag flash beach 2018;29; tracollina swing corda;SHOUD900;ROS07;125;;multicolor;multicolour;
 O bag flash beach 2018;29; tracollina swing corda;SHOUD900;ROS07;055;;nero;black;
 O bag flash beach 2018;29; tracollina swing corda;SHOUD900;ROS07;054;;naturale;natural;
 O bag flash beach 2018;30; accessorio clip ecopelle;OBAGA000;ECS42;371;;latte;milk;
 O bag flash beach 2018;30; accessorio clip tessuto;OBAGA000;TES20;509;;moka;moka;
 O bag flash beach 2018;30; accessorio clip tessuto;OBAGA000;TES20;486;;pink;pink;
 O bag flash beach 2018;34; bordo O bag tessuto haiti;OBAGT001;TESM4;509;;moka;moka;
