Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018 .continuativo carry over;14; scocca O bag beach mini;OBAGB018;EVS03;055;;nero;black;
 O bag summer 2018 .continuativo carry over;14; scocca O bag beach mini;OBAGB018;EVS03;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;14; scocca O bag beach mini;OBAGB018;EVS03;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;15; scocca O bag beach micro;OBAGB028;EVS03;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;15; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;028;;ecru;ecru;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;18; scocca O bag beach micro;OBAGB028;EVS03;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;19; manico lungo ecopelle;HLESG000;ECS01;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;028;;ecru;ecru;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;20; manico lungo corda;HLESG000;ROS00;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;20; manico extra slim goccia;HLESX800;ECS00;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;20; manico extra slim goccia;HLESX800;ECS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;20; manico extra slim goccia;HLESX800;ECS00;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;20; manico extra slim goccia;HLESX800;ECS00;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;21; manico corto ecopelle;HLESGC00;ECS01;009;;blu;blue;
 O bag summer 2018 .continuativo carry over;22; manico corto corda;HLESGC00;ROS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;23; manico extraslim goccia;HLESX600;ECS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;23; tracolla catena con fascia;SHOUC106;ECS08;055;;vernice nero;patent black;
 O bag summer 2018 .continuativo carry over;24; tracolla catena con fascia;SHOUC106;ECS08;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;24; tracolla catena con fascia;SHOUC106;ECS08;061;;oro;gold;
 O bag summer 2018 .continuativo carry over;24; tracolla catena con fascia;SHOUC106;ECS08;348;;ottone invecchiato;aged brass;
 O bag summer 2018 .continuativo carry over;24; tracolla catena lunga;SHOUC006;MTS01;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;25; tracolla catena goccia forata;SHOUC400;MTS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;25; tracolla catena goccia forata;SHOUC400;MTS01;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;25; tracolla catena goccia forata;SHOUC400;MTS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;25; tracolla lunga O pocket;SHOUG006;TES01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;25; tracolla lunga O pocket;SHOUG006;TES01;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;25; tracolla lunga O pocket;SHOUG006;TES01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;26; tracolla lunga O pocket;SHOUG006;ECS00;054;;naturale + oro;natural + gold;
 O bag summer 2018 .continuativo carry over;26; tracolla lunga O pocket;SHOUG006;ECS00;084;;testa di moro + ottone;dark brown + aged brass;
 O bag summer 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS40;055;;nero + argento;black + silver;
 O bag summer 2018 .continuativo carry over;27; accessorio clip ecopelle;SHOUA306;ECS42;055;;vernice nero + oro;patent black + gold;
 O bag summer 2018 .continuativo carry over;28; accessorio clip ecopelle;SHOUA306;ECS39;055;;vernice nero + oro;patent black + gold;
 O bag summer 2018 .continuativo carry over;28; accessorio clip ecopelle;SHOUA306;ECS39;084;;testa di moro + ottone;dark brown + aged brass;
 O bag summer 2018 .continuativo carry over;28; accessorio clip ecopelle;SHOUA306;ECS39;055;;nero + argento;black + silver;
 O bag summer 2018 .continuativo carry over;29; tracolla accessori goccia;SHOUA203;ECS08;055;;nero;black;
 O bag summer 2018 .continuativo carry over;29; tracolla accessori goccia;SHOUA203;ECS08;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;29; tracolla accessori goccia;SHOUA203;ECS08;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;29; tracolla lunga pelle;SHOUG000;PES00;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;29; tracolla lunga pelle;SHOUG000;PES00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;29; tracolla lunga pelle;SHOUG000;PES00;054;;naturale;natural;
 O bag summer 2018 .continuativo carry over;29; tracolla lunga pelle;SHOUG000;PES00;084;;testa di moro;dark brown;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;32; tracolla lunga ecopelle;SHOUG000;ECS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;33; bordo O bag ecopelliccia;OBAGT001;FAS02;134;;antracite;anthracite;
 O bag summer 2018 .continuativo carry over;33; bordo O bag ecopelliccia;OBAGT001;FAS02;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;34; bordo O bag ecopelliccia;OBAGT001;FAS04;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;34; bordo O bag ecopelliccia;OBAGT001;FAS04;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;34; bordo O bag ecopelliccia;OBAGT001;FAS04;055;;nero;black;
 O bag summer 2018 .continuativo carry over;35; bordo O bag lana coste;OBAGT001;LAS04;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;35; bordo O bag lana coste;OBAGT001;LAS04;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;35; bordo O bag lana coste;OBAGT001;LAS04;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;35; bordo O bag mini;OBAGT002;FAS09;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;35; bordo O bag mini;OBAGT002;FAS09;004;;argento;silver;
 O bag summer 2018 .continuativo carry over;35; bordo O bag mini;OBAGT002;FAS09;055;;nero;black;
 O bag summer 2018 .continuativo carry over;36; bordo O bag mini;OBAGT002;FAS02;134;;antracite;anthracite;
 O bag summer 2018 .continuativo carry over;36; bordo O bag mini;OBAGT002;FAS02;039;;grigio;grey;
 O bag summer 2018 .continuativo carry over;40; bordo O bag mini;OBAGT002;FAS04;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;40; bordo O bag mini;OBAGT002;FAS04;055;;nero;black;
